	User ID	Text ID	Text	Lang	Country by Zone	Country by Location	Drug	ADR
2669	9.60E+17	9.60E+17	I smell codeine when I piss🤭	en		   		
2676	9.60E+17	9.60E+17	"People who keep saying they got insomnia be bugging, eseng Codeine e fumaneha over the counter."	en		S I N V I L L E		
2685	9.60E+17	9.60E+17	My luck is halving the dosage of medication because it's giving you extreme hot flashes and then it not taking away any pain 😪	en		tennessee	medication	increases pain
2697	9.60E+17	9.60E+17	If you're ever wondering if Brooke is taking her pain medication just check out her Twitter	en		"Fort Worth, TX"		
2718	9.60E+17	9.60E+17	I need a dose of morphine.	en		The World		
2723	9.60E+17	9.60E+17	"Codeine crazy is the most sad beautiful, and the orc is pillaging my hous…."	en		in a sack		
2754	9.60E+17	9.60E+17	"@ARRESTPODESTA Princeton die from Propofol like Michael Jackson,
Prince overdosed on Fentanyl"	en		"West Palm Beach, FL"		
2765	9.60E+17	9.60E+17	Doctors warn some opioid users taking 100s of pills of Imodium to get high	en	Pacific Time (US & Canada)	"Virginia Beach, Virginia"		
2794	9.60E+17	9.60E+17	@IanKarmel he used to do heroin and JT is worse than coming off of that	en				
2803	9.60E+17	9.60E+17	"""Can you ask narcotics if they can help out at Broad &amp; (???)? They have a crowd of about 100 or so."" #phillypolicescanner"	en	Pacific Time (US & Canada)			
2807	9.60E+17	9.60E+17	#PhillyPoliceScanner sending out the narcotics division to help with crowd control...? Oof	en				
2810	9.60E+17	9.60E+17	"""See if we can can Narcotics to help out a crowd of a hundred or so"""	en	Beijing	Peep's Republic of Chabuduo		
2817	9.60E+17	9.60E+17	@Heroin i had to leave them behind with my room mate :/ i moved out of vegans remember?	en	Arizona	loki manda sierra illy kros		
2822	9.60E+17	9.60E+17	The whole of my chest/abdomen is in tatters this morning 😢 the way codeine has been my best friend these past few weeks.	en	London	"London, United Kingdom"	codeine*	tattering abdomen
2825	9.60E+17	9.60E+17	"@Heroin couldn't bring them with me because you know my grandma thinks ""los gatos diablos"""	en	Arizona	loki manda sierra illy kros		
2829	9.60E+17	9.60E+17	"""See if we can get Narcotics to help out a crowd of a hundred or so"""	en	Beijing	Peep's Republic of Chabuduo		
2830	9.60E+17	9.60E+17	@Heroin i had 3 btw :/	en	Arizona	loki manda sierra illy kros		
2838	9.60E+17	9.60E+17	@OH_mes Sleep. Take your pain medication. And heal properly Namjoon. ♥️😘	en		United States		
2883	9.60E+17	9.60E+17	“Morphine”	en				
2886	9.60E+17	9.60E+17	"BPD 911 Dispatch: NARCOTICS INSIDE | 4600 EDMONDSON AV | Sun, Feb 4th 2018, 11:07 pm | Medium | P180352145"	en	Eastern Time (US & Canada)	"Baltimore, MD"		
2893	9.60E+17	9.60E+17	Codine rindin' my head...where u were?it was Lit thou	en		South Africa	codine	headache
2915	9.60E+17	9.60E+17	Every boy I've ever loved has been into opiates and I wonder why that is?	en	Arizona	Texas		
2916	9.60E+17	9.60E+17	Tropical sprite with codeine at the bottom	en	Pacific Time (US & Canada)	"Queens, NY"		
2921	9.60E+17	9.60E+17	Voting for Jeremy Corbyn is the same sort of thing as injecting heroin with a needle that was given to you by somebody with AIDS.	en	London			
2925	9.60E+17	9.60E+17	"one of the folks im following is tryna quit heroin rn &amp; im rly proud of her shes been struggling w it 4 a while, u go queen"	en		for anton		
2934	9.60E+17	9.60E+17	Religion is the opiate of the masses  #Marx #MondayMotivation	en				
2935	9.60E+17	9.60E+17	I'm so scared of someone sticking heroin in me then bam I'm hooked for life and homeless	en	Eastern Time (US & Canada)	"Oklahoma, USA"		
2938	9.60E+17	9.60E+17	@HeyAnge2169 @ericbolling Who's making fentanyl and who are they selling it to? And why is it suddenly an epidemic? Where's Dr . Murray?	en				
2963	9.60E+17	9.60E+17	"@PhantomsBooty REALLY??? THAT’S SO COOL, VICO, OMGGG"	en	Central Time (US & Canada)	"Tennessee, USA"		
2972	9.60E+17	9.60E+17	"@PRyan yay, more opiate deaths"	en				
2979	9.60E+17	9.60E+17	"@BarstoolBigCat @allbusinesspete I’m a Pats fan, but you gotta respect this emotion...not a better high in the world...except heroin"	en	Eastern Time (US & Canada)	Gouches House		
2999	9.60E+17	9.60E+17	"Flying to the moon again, dreamed about heroin."	en	Arizona	Culiacán Sin.		
3022	9.60E+17	9.60E+17	jus did a fat rail of heroin im hiigh ss fuck	en	Pacific Time (US & Canada)		heroin	get high
3026	9.60E+17	9.60E+17	@StonedInNE Probably why opioids are such a big deal in the Northeast	en		United States		
3033	9.60E+17	9.60E+17	@ABC Guessing heroin or fentanyl	en				
3055	9.60E+17	9.60E+17	She was a meth head he was a heroin addict	en	Arizona	Texas		
3070	9.60E+17	9.60E+17	@wnmcradio Play heroin bobby!	en		"Anchorage, Alaska"		
3083	9.60E+17	9.60E+17	Emraan Hashmi Your film is Awarapan is my best movies and Shriya Salike is best heroin  perform I like your film Awarapan.	en				
3093	9.60E+17	9.60E+17	CODEINE SOFT DRINKS  red violet    @netflix	en	Pacific Time (US & Canada)	piece of shit land		
3121	9.60E+17	9.60E+17	Sippin Codeine Tats all on my stomach	en	Central Time (US & Canada)			
3154	9.60E+17	9.60E+17	@marconomustache We out here fucking LIT. Coding all day. “Codeine” dirty sprite. S/O to all the engineers.	en	Arizona	"Tucson, AZ"		
3162	9.60E+17	9.60E+17	"spent 5 days unable to eat or breath, thought I was gonna die, but least now I know how it feels to have codeine pumped into u for 120 hours"	en	Pacific Time (US & Canada)	"Sheffield, England"	codeine	unable to eat or breath
3174	9.60E+17	9.60E+17	I swear Mum is only going to Narcotics Anonymous to pick up men	en	Sydney	"New South Wales, Australia"		
3190	9.60E+17	9.60E+17	go fruit barrel gore dank die webcomic music oxycontin	en		void		
3199	9.60E+17	9.60E+17	need me more codeine	en	Pacific Time (US & Canada)			
3206	9.60E+17	9.60E+17	all this codeine got me nodding off	en	Central Time (US & Canada)	super bowl 52		
3207	9.60E+17	9.60E+17	We're thrilled to welcome Pam Willeford not president made it continues America's opioid crisis. Stunning.	en				
3217	9.60E+17	9.60E+17	@FattyCaratVico Vico sweetie are you okay?????	en		bias hopping		
3226	9.60E+17	9.60E+17	"@ScottPresler I live in this shithole, it's real!!!! What do you expect from a city that now has ""safe injection"" sites for heroin addicts?"	en	Eastern Time (US & Canada)	"Pennsylvania, USA"		
3245	9.60E+17	9.60E+17	@inquirerdotnet @FMOrellanaINQ ... am sure he isn’t on fentanyl .... so who was it .... someone close to her home...???	en				
3246	9.60E+17	9.60E+17	@paigejjcraven @JamieClay_ You’re on heroin	en	Casablanca			
3248	9.60E+17	9.60E+17	"In the seventh circle of Hell, sinners must endure Another shot of morphine for all eternity."	en	Pacific Time (US & Canada)			
3267	9.60E+17	9.60E+17	I’m getting old and all this pain medication ain’t shit.	en	Pacific Time (US & Canada)	"Dallas, TX"		
3273	9.60E+17	9.60E+17	This hydrocodone was suppose to make me sleepy. It’s almost 2 in the morning and I am wide awake. #placebo	en		"Sioux City, IA"	hydrocodone	insomnia
3274	9.60E+17	9.60E+17	"@ThomasKlineMD methadone is the cheapest, my Rx was $9.95 cash price (insurance paid less than $4)"	en	Eastern Time (US & Canada)			
3290	9.60E+17	9.60E+17	how heroin gives you everything &amp; take it all away	en	Karachi			
3304	9.60E+17	9.60E+17	you taking morphine homie you a moron	en				
3315	9.60E+17	9.60E+17	Codeine crazy	en	Central Time (US & Canada)	Texas P.S. 118		
3317	9.60E+17	9.60E+17	"Percocet, unsweetened ice tea, cocaine and satellite OG is a big mood rn"	en		"Houston, TX"		
3342	9.60E+17	9.60E+17	"@BitchPuddingO_o Lol, can't be that bad. The opioid crisis?"	en	Harare	"Sandton, South Africa"		
3369	9.60E+17	9.60E+17	"momma house used to trap up out it, heroin and crack up out it, come correct or get smacked about it .."	en	Pacific Time (US & Canada)			
3370	9.60E+17	9.60E+17	Codeine Dreaming	en	Beijing	Q.C	codeine 	dreaming
3390	9.60E+17	9.60E+17	percocet percocet percocet know im HornX woah woah	en		Atlanta Georgia		
3409	9.60E+17	9.60E+17	@E_alfaro169 Lol CBD is a component that has morphine like effects in cannabis.	en	Arizona			
3410	9.60E+17	9.60E+17	WVU researcher links fentanyl to particular form of amnesia	en			fentanyl	amnesia
3414	9.60E+17	9.60E+17	I just took a piss and I seen codeine coming out	en	Pacific Time (US & Canada)			
3416	9.60E+17	9.60E+17	@catholic_nun babe have U considered getting on methadone or suboxone ?	en	Pacific Time (US & Canada)	rest in paradise Joe & RJ 🥀		
3421	9.60E+17	9.60E+17	percocet got a nigga itchin 😐 @xvl_hendrix  @JoseGuapo	en		Atlanta Georgia	percocet	itching
3424	9.60E+17	9.60E+17	Article states suspected narcotics?	en	Quito	WV		
3426	9.60E+17	9.60E+17	No these codeine handles ain’t got nothing to do with my lil child	en	Atlantic Time (Canada)	Portsmouth VA 7️⃣5️⃣7️⃣		
3431	9.60E+17	9.60E+17	codine crazy.🥃	en	Casablanca	The South🇬🇧🚀		
3434	9.60E+17	9.60E+17	Codeine dreaming	en	London	FPK 		
3442	9.60E+17	9.60E+17	Yah local oxy gurl is a gurl okay?	en	Pacific Time (US & Canada)	archiiiii		
3471	9.60E+17	9.60E+17	@Technicallykim I am in Susan Ingram’s lab. Her work consists of both pain/opioids and transporters. What lab did your boss post doc in?	en		"Portland, OR"		
3484	9.60E+17	9.60E+17	@Jesturee @OxyTroll Why even tweet it out then? Only person who RT it is Oxy bc he won it with u lmfao just delete the tweet and move on	en	Arizona			
3485	9.60E+17	9.60E+17	New York accuses Insys of deceptively marketing opioid	en	Midway Island	"Albuquerque, New Mexico"		
3516	9.60E+17	9.60E+17	Religion is the opiate of the masses  #Marxism #firstdayofspring	en				
3532	9.60E+17	9.60E+17	"UberFacts: U.S. Senator Joe McCarthy was a heroin addict in his later years, and the U.S. government paid for his heroin. #lazzycow"	en	Pacific Time (US & Canada)			
3533	9.60E+17	9.60E+17	Paul Lau died at Sydney hospital after wrongly being prescribed fentanyl: inquest | #Australia ##RTGWorld	en	Pacific Time (US & Canada)		fentanyl	die
3535	9.60E+17	9.60E+17	I love the movie #Trainspotting because it depicts such a real representation of what heroin addiction is like.	en	MDT			
3553	9.60E+17	9.60E+17	"Day 1 without codeine, lets see how much of a shitshow today will be"	en	London	A Fortress Atop A Hill		
3572	9.60E+17	9.60E+17	@HeidiL_RN Heroin will do that to you	en		"Camp Hill, PA"		
3574	9.60E+17	9.60E+17	lookin 4 a doctor hook me up wit a constant morphine iv drip wud make productivity increase tenfold	en	Pacific Time (US & Canada)	"Montréal, anti-world"		
3577	9.60E+17	9.60E+17	@Heroin i bet you're puerto rican	en	Pacific Time (US & Canada)			
3580	9.60E+17	9.60E+17	seit donnerstag straight benzos gefooded wigga ich bin fucked up	en	Berlin	"Trap, Europe, Germany, Hamburg"		
3581	9.60E+17	9.60E+17	@Jesturee @OxyTroll 2v2 Chall for ur bank? But you have to play with Oxy?	en	Arizona			
3595	9.60E+17	9.60E+17	Baclofen may treat the pain and the stiffness on which other medication doesn't work.	en	Pacific Time (US & Canada)	"Shibuya, Tokyo"		
3619	9.60E+17	9.60E+17	"U.S. Senator Joe McCarthy was a heroin addict in his later years, and the U.S. government paid for his heroin."	en	Amsterdam	Amsterdam		
3628	9.60E+17	9.60E+17	When I was in the hospital because my bronchitis flared up I was given Vicodin for my throat &amp; chest pains.	en		- in my pink bubble !		
3630	9.60E+17	9.60E+17	@tonytoplane @puppyheadass bro it's like fucking heroin to me	en	Brasilia	Love Syd		
3643	9.60E+17	9.60E+17	"@Jesturee @OxyTroll On my mom I haven’t played cod in 3 weeks, but it’s Oxy so I’ll play for my house"	en	Arizona			
3656	9.60E+17	9.60E+17	@nosetimes4moms Bunch of fucking hippies. I need my rock and roll to be fueled with heroin and devil worship.	en	Eastern Time (US & Canada)	"Chicago, IL"		
3663	9.60E+17	9.60E+17	this morphine still got me itching in my sleep	en		803	morphine	itching
3685	9.60E+17	9.60E+17	Silver Screen - Codeine	en		"Millvale, PA"		
3703	9.60E+17	9.60E+17	Morphine... Is that the pin on my hat?	en		Platinum Jail		
3708	9.60E+17	9.60E+17	any1 got a black tar heroin link? hit the dm	en	Pacific Time (US & Canada)			
3723	9.60E+17	9.60E+17	@Heroin It's Spanish	en		"Kentucky, USA"		
3727	9.60E+17	9.60E+17	"TBH, I think bambam is legit getting her codeine supplies from somewhere...nigga too slow!! #bbnaija"	en		"Osun, Nigeria"		
3733	9.60E+17	9.60E+17	@nagamomkai @AndruwuS @Aaronlosre my friend is a fucking oxy fiend (idk why because that shits expensive) and her nose bleeds lots too	en	Alaska		oxy	nose bleeding
3734	9.60E+17	9.60E+17	"opiates, stuffed ducks with crowns from ikea, beaver choice, the multi-national restaurant on baseline&amp;country club, opiates"	en				
3750	9.60E+17	9.60E+17	SNORTING BENZOS IS A WASTE BUT I DO IT ANYWAY	en	Alaska			
3751	9.60E+17	9.60E+17	"@Bic_Gummies @AndruwuS @Aaronlosre i went through an oxy/done phase

that was worse than cocaine fo rme"	en		@doujinsh1t		
3752	9.60E+17	9.60E+17	@Heroin It's not lmao	en		"Kentucky, USA"		
3760	9.60E+17	9.60E+17	Not sure who screwed up the opioid thing but I used to be able to sleep pretty good. Not being insensative.	en	Central Time (US & Canada)			
3774	9.60E+17	9.60E+17	Stopping the opiates prescribed for my post surgery pain management. Although mildly euphoric they make me nauseous tired and itch for more.	en			opiates	nauseous tired
3790	9.60E+17	9.60E+17	@Jesturee @OxyTroll Idk about you but  Oxy is a 22yr baked bean who lives in his mothers 1 bedroom apartment	en	Arizona			
3791	9.60E+17	9.60E+17	I’m going codeine crazy	en	Eastern Time (US & Canada)			
3797	9.60E+17	9.60E+17	@ZeroTBE @OxyTroll Did I ask about oxy you meat stick. Pay more attention	en	Pacific Time (US & Canada)	United States		
3820	9.60E+17	9.60E+17	Heroin and marijuana are found in Tijuana	en				
3821	9.60E+17	9.60E+17	"“I was drunk and on heroin” 

That’s not something to be proud of 🙄🙄🙄"	en	Central Time (US & Canada)	UP		
3828	9.60E+17	9.60E+17	"#Cryptocurrency
Best returns (Last 15 Minutes):
$KNC +102.81% #KNC
$OXY +26.44% #OXY
$PUT +22.39%  #PUT"	en	Pacific Time (US & Canada)			
3835	9.60E+17	9.60E+17	LOTTA NARCOTICS	en		"Detroit, MI"		
3846	9.60E+17	9.60E+17	@Heroin This is how i feel	en	Pacific Time (US & Canada)	Chicago / HeLL 		
3852	9.60E+17	9.60E+17	I would completely quit alcohol if it was not a schlep to get codeine.	en	Pretoria	Midrand || KwaNzimakwe		
3856	9.60E+17	9.60E+17	Well... At least SOMEBODY followed up on that mail-order fentanyl from China lead. @cbsnews @robportman 😎	en				
77	9.60E+17	9.60E+17	@ichiarts I woke up out of an oxy coma to watch this C'MON EAGLES!!	en	America/Chicago	"Independence, MO"	eagle	
85	9.60E+17	9.60E+17	Indiana Provides Opioid Overdose Kits Across State	en				
94	9.60E+17	9.60E+17	Way to go Eagles! Now the city can finally shoot fireworks instead of heroin!	en				
103	9.60E+17	9.60E+17	AND THE HEROIN RIGS ARE LIT	en	Eastern Time (US & Canada)	The Cack		
114	9.60E+17	9.60E+17	LETS GET THE FUCKING HEROIN READY!!!!!! @Riquestradamus	en	Pacific Time (US & Canada)	Bay Area	social	
137	9.60E+17	9.60E+17	"Codeine crazy on repeat tonight, boys"	en				
146	9.60E+17	9.60E+17	The degenerates in Philly are really gonna enjoy their heroin tonight	en	Central Time (US & Canada)	Minnesota 		
148	9.60E+17	9.60E+17	Friendly reminder Philly wants to have people get shot on heroin. .	en	Eastern Time (US & Canada)	"Bayonne, New Jersey"		
157	9.60E+17	9.60E+17	"@sindivanzyl Take a tramadol. 
The suffering is worth it."	en	Harare	"Gauteng, Mzansi"		
170	9.60E+17	9.60E+17	Have freckles?You probably have OCD.This causes hallucinations.Try Methadone	en				
194	9.60E+17	9.60E+17	Nvm he was doing heroin in there	en		"California, USA"		
201	9.60E+17	9.60E+17	"Again, I'll re-state it....seeing the Pats lose is what heroin must feel like."	en		Washington DC		
225	9.60E+17	9.60E+17	Why interview players SECONDS after a game. Might as well interview people who just mainlined heroin	en		Panda Express™		
237	9.60E+17	9.60E+17	"@sindivanzyl 1 tramadol is hardly addictive. Try 6 over 8 hours. I still lust after it. 
But then I have an addictive tendency."	en	Harare	"Gauteng, Mzansi"	tramadol	addictive
240	9.60E+17	9.60E+17	@Scaramucci @Eagles @PhiladelphiaGov king of ending opioid epidemic	en	Eastern Time (US & Canada)			
247	9.60E+17	9.60E+17	Pure NFL narcotics right there. What a great game. Congrats on your first Super Bowl @Eagles #SuperBowlLII	en				
257	9.60E+17	9.60E+17	"just like nicotine, heroin, morphine"	en	Santiago	"Varginha, Brasil"		
261	9.60E+17	9.60E+17	About to go get this heroin I’ve been saving	en	Central Time (US & Canada)	TX		
266	9.60E+17	9.60E+17	"@LDNCalling He was a heroin addict, tho. He can be forgiven."	en	Pacific Time (US & Canada)	England		
276	9.60E+17	9.60E+17	"@Srathem So fucking true 
#Eggs
#Milk
#Heroin
#Coffee
#Kittyfood
#Cigarettes"	en	Pacific Time (US & Canada)	Pacific Northwest		
300	9.60E+17	9.60E+17	@ILoveJew6000000 @dantehicks37 Tramadol casserole here.	en	Pacific Time (US & Canada)	"Ontario, OR"		
365	9.60E+17	9.60E+17	@jaja0726 @Cravanicus I’ve gotten a Toradol shot that did NOTHING. I guess I’m supposed to go to ER for morphine next but I’m resisting	en	America/New_York	"Cleveland, OH"		
375	9.60E+17	9.60E+17	"@OliveOilCorp They're handling their opioid crisis just like every other American city, one narcan wielding librarian at a time..."	en	Pacific Time (US & Canada)			
376	9.60E+17	9.60E+17	"I can smell the heroin bindles and oxy’s from Cali already, Philly."	en	Pacific Time (US & Canada)	"Long Beach, CA"		
386	9.60E+17	9.60E+17	"And I love your women and all of your heroin,
And I'm so happy now that you're gone."	en		"Bel Air, California"		
397	9.60E+17	9.60E+17	@dabearsblog America's opioid crisis hits the NFL	en				
435	9.60E+17	9.60E+17	Shoutout to @THEKIDMERO @desusnice tell them opioid as Boston mf’s suck my underdog dick from the bidack	en	Pacific Time (US & Canada)	"Georgia, USA"		
475	9.60E+17	9.60E+17	@Kayla_Bunch2 And not doing so much coke and heroin. Chet Baker in realtime. At least he seems to still hit the high notes.	en	Pacific Time (US & Canada)	"Lincoln, NE"		
563	9.60E+17	9.60E+17	"@Bourdain Chill Tony, it’s just opiate for the masses,#Karl"	en				
567	9.60E+17	9.60E+17	I'd rather watch dogs fuck while on heroin than see Eagles celebrate	en	Tokyo	Universe7		
586	9.60E+17	9.60E+17	"@heather_wilson Bless these poor guys, though. They sound exhausted already. Ooo.. Narcotics call! Tag me in!"	en	America/Chicago	"Chattanooga, TN"	narcotics	exhausted
596	9.60E+17	9.60E+17	"""raise the chief of narcotics"" this is about to get good"	en	Pacific Time (US & Canada)	a psych 		
597	9.60E+17	9.60E+17	"@JustHeatherM Heh, they're calling in the chief of narcotics."	en	Pacific Time (US & Canada)			
599	9.60E+17	9.60E+17	#Phillypolicescanner “where’s the chief of narcotics?”	en	Central Time (US & Canada)	Atlanta		
603	9.60E+17	9.60E+17	"Chief of Narcotics is present. 

#PhillyScanner"	en	Eastern Time (US & Canada)	📪:  Oklahoma		
608	9.60E+17	9.60E+17	"""Where are we keeping narcotics?!""

Holy fuck"	en	Eastern Time (US & Canada)	"New York, NY"		
612	9.60E+17	9.60E+17	"@TheRickWilson Literally just heard a cop say ""where's the chief of narcotics?!"""	en		"Owensboro, KY"		
625	9.60E+17	9.60E+17	"They've got bottles being thrown, a few injuries, narcotics, all bike teams deployed and boy am I glad I'm not a Philly cop right now."	en		Buckeye Nation		
626	9.60E+17	9.60E+17	They are calling for the chief of narcotics! Not sure why	en	Central Time (US & Canada)	"Birmingham, Alabama"		
631	9.60E+17	9.60E+17	Philly Police Scanner:  “Where’s the Chief of Narcotics?”  Wow.  That’s a new level!	en	Central Time (US & Canada)	"Orlando, FL"		
636	9.60E+17	9.60E+17	Philadelphia chief of narcotics saying there's traffic in Philadelphia. Wow this is underwhelming. #PhiladelphiaPoliceScanner	en	Eastern Time (US & Canada)	"Cincinnati, OH"		
638	9.60E+17	9.60E+17	"Chief of narcotics is being called to South Street, btw."	en	Central Time (US & Canada)	"Houston, TX"		
652	9.60E+17	9.60E+17	"@cerealboys riku; im not feeling great 
shu☆zo : ever try oxy?"	en	Eastern Time (US & Canada)	he/him ✞ 19		
681	9.60E+17	9.60E+17	@TheRickWilson “Come in Chief of Narcotics” thanks for the link Rick!	en	Eastern Time (US & Canada)	"Baltimore, MD"		
696	9.60E+17	9.60E+17	@RealSkipBayless ur taking morphine cousin ur a moron!	en	Pacific Time (US & Canada)			
698	9.60E+17	9.60E+17	@CNN We could make a lot more money selling heroin and cocaine. Why not do it?    Idiots.	en		"Tennessee, USA"	social	
699	9.60E+17	9.60E+17	My dads gonna say “this is heartbreaking i might have to take 5 morphine so i can sleep tonight” 😂😂😂	en	Eastern Time (US & Canada)	👻: Ratedgi		
705	9.60E+17	9.60E+17	"drug companies shipped 20.8 million oxycodone and hydrocodone pills to two pharmacies only blocks apart in the rural town of Williamson, Wv"	en		Aether		
741	9.60E+17	9.60E+17	I just sip on codeine all dese bitches love me all dese bitches want me cus dey know I’m havin cus dey know I’m dabbin	en	Quito	dekalb co.		
742	9.60E+17	9.60E+17	need to go codeine in some 💦😺🤦‍♂️	en	Eastern Time (US & Canada)	256		
747	9.60E+17	9.60E+17	@TheSciBabe @skepticpedi @JustinMorganMD I like tessalon- have to be over 12. No evidence codeine works and risk&gt;&gt;&gt;benefit in kids.	en	Eastern Time (US & Canada)	"Baltimore, Maryland"		
760	9.60E+17	9.60E+17	"I’m sippin codeine like it’s rum.... I just smoked a hundred blunt$ 
All these drugs got me numb"	en	Pacific Time (US & Canada)	Fresno California		
762	9.60E+17	9.60E+17	"@NFoles_9 Do you think “god” spent time on this game instead of things like, homelessness, opioid abuse, rape, murder, etc?"	en				
764	9.60E+17	9.60E+17	"#NowPlaying She's Like Heroin to Me - The Gun Club
on  #kvxx #lasvegas"	en		"Las Vegas, NV"		
775	9.60E+17	9.60E+17	narcotics and almost gonna chill with the homies.	en	Pacific Time (US & Canada)	"Shafter, California "		
797	9.60E+17	9.60E+17	"me like 4 months ago or so: 40mg oxy
me: so duo do dig do"	en		"Hell, MI"	oxy	amnesia
804	9.60E+17	9.60E+17	"@sevenprphts Im already on lmao, soon as the birds broight it home i tirned it on. Petah percocet in sensasional form.."	en	Eastern Time (US & Canada)	Slickville USA		
808	9.60E+17	9.60E+17	but i'm really not that mad bc we made these plans when i was on morphine and i forgot until yesterday soooo	en		1/2 of the dream team	morphine	amnesia
812	9.60E+17	9.60E+17	"@RWPUSA I thought she was supposed to be helping to cure the opioid epidemic, not taking them herself.  🤦‍♀️"	en				
821	9.60E+17	9.60E+17	"MSNBC 7:43pm Individual results may vary.
LY KILA IS not an antluepressant. or an opioid."	en		"San Francisco, CA"		
829	9.60E+17	9.60E+17	@Solentos @fitengineer32 @simmnfierzig @RealSkipBayless And Philly still a shit hole heroin filled cesspool	en				
836	9.60E+17	9.60E+17	Not even gonna lie I had codeine crazy ready to play on repeat had the pats won	en				
837	9.60E+17	9.60E+17	"liquor before beer, you're in the clear
beer before liquor, you'll be okay, daddy didn't raise a little bitch 
don't do heroin 
bye"	en		"Manila, PH"		
856	9.60E+17	9.60E+17	VERIZON WEB DOWN BREMERTON WA KITSAP COUNTY HEROIN EPIDEMIC PBS FRONTLINE CHASING HEROIN	en				
861	9.60E+17	9.60E+17	"@moshawley @CNN But sugar, tobacco, alcohol and opioids are ok, right???"	en	Eastern Time (US & Canada)	"Avon, Ind."		
879	9.60E+17	9.60E+17	@TheConservtive @CNN Sugar. Tobacco alcohol. Opioids.	en	Eastern Time (US & Canada)	"Avon, Ind."		
896	9.60E+17	9.60E+17	@ProudResister Aren't they all on the opiates?	en		"Sydney, New South Wales"		
903	9.60E+17	9.60E+17	If you think the Celtics or anybody in the East is beating Bron in a 7 game series you off good heroin I’m convinced	en	Eastern Time (US & Canada)	"Dayton, OH"		
911	9.60E+17	9.60E+17	"BPD 911 Dispatch: NARCOTICS INSIDE | 900 N MONROE ST | Sun, Feb 4th 2018, 8:24 pm | Medium | P180351881"	en	Eastern Time (US & Canada)	"Baltimore, MD"		
917	9.60E+17	9.60E+17	Im really joked at the chappelle show talking about heroin. 😭😭😭	en	Central Time (US & Canada)	sometimes 504 sometimes 337		
942	9.60E+17	9.60E+17	@ShannonBream @trumps_feed Religion - opiate of the masses. Dummy.	en	Eastern Time (US & Canada)			
958	9.60E+17	9.60E+17	# opioid fix backfires as more people turn to the streets for illegal drugs as Dr take away their prescription meds.	en				
966	9.60E+17	9.60E+17	"Welp, the patriots lost, but on the bright side...I’m not addicted to heroin"	en		"Watts, CA"		
970	9.60E+17	9.60E+17	Free bundles of heroin in philly all week baby	en	Central Time (US & Canada)	"Oxon Hill, MD"		
971	9.60E+17	9.60E+17	@Mr_SnowMeiser @Rezoww Are gay jokes your defensive mechanism for having the body and face of sexual abused heroin addicted trany?	en	Arizona	"USA, AZ"		
989	9.60E+17	9.60E+17	just like nicotine heroin morphine suddenly i'm a fiend and you're all i need	en		badlands 		
1000	9.60E+17	9.60E+17	"@sarapekow That’s too bad :( Well, you know what dad would say: if you can’t beat ‘em, cough syrup with codeine."	en	Central Time (US & Canada)	"Pre: 38.0346304,-122.53711"		
1032	9.60E+17	9.60E+17	Niggas in philly gonna have the heroin for the low all year now	en	Eastern Time (US & Canada)	"914 yerr, NY"		
1038	9.60E+17	9.60E+17	@ashleyruuu Should of been more concerned about them opiates.	en		"California, USA"		
1046	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine. Suddenly, i’m a fiend and you’re all I need..."	en		Nicaragua		
1052	9.60E+17	9.60E+17	"@NvrNyce I hear meth is more addictive than heroin. Or is it bath salts? Either way, you gotta get off the shit man. You're coming unglued."	en	Mountain Time (US & Canada)	"Chicago, IL"		
1060	9.60E+17	9.60E+17	@divyaspandana We make to that ur a useless heroin	en				
1069	9.60E+17	9.60E+17	"@SocialClaude More Morphine, Nurse💉"	en	Eastern Time (US & Canada)	"New York, USA"		
1076	9.60E+17	9.60E+17	Duck it I’m doing heroin tonight	en		"Fernley, NV"		
1089	9.60E+17	9.60E+17	@FrJohnUSA She took a tramadol is now adjusting her lips and chewing her dentures....	en	Central Time (US & Canada)	Cracker Land	tramadol	pain in mouth
1163	9.60E+17	9.60E+17	@SHHX1989 @hdspeakyourmind @CNN Actually opioid deaths are down 25% in legal states. But keep trotting out Sessions-like propaganda	en	Pacific Time (US & Canada)	"Los Angeles, CA"		
1169	9.60E+17	9.60E+17	#SuperBowl   Wants to go Eagles! Now Philadelphia can finally shoot fireworks instead of heroin!	en			eagle	
1192	9.60E+17	9.60E+17	Mood: Narcotics	en	Pacific Time (US & Canada)			
1201	9.60E+17	9.60E+17	codeine dreaming is such a romantic millennial kodak and lil wayne  R&amp;B song	en	Eastern Time (US & Canada)	Charging my Iphone 6		
1231	9.60E+17	9.60E+17	@Alyssa_Milano @iamajallday Be careful with fentanyl tho	en	Quito	New York City		
1251	9.60E+17	9.60E+17	Rewind me back to 4 years ago where i had stacks of codeine in my cupboard	en				
1310	9.60E+17	9.60E+17	"Adverse effect of opioids that the body does not develop tolerance to?
a.Constipation
b.Sedation
c.Nausea
d.Vomiting 
Answer - A"	en		Minnesota		
1324	9.60E+17	9.60E+17	Codeine dreaming	en		Under the moon light		
1327	9.60E+17	9.60E+17	"@sinbadbad Crack is so 80s, it's meth this bozo is high on or Oxy, either one"	en		"London, Ontario"		
1338	9.60E+17	9.60E+17	White people havent been this excited since they figured out how to get high of the Oxy reformatted pills. #SuperBowl	en				
