Text	Country by Zone	Country by Location	Lang	Drug	Annotated Text	Semantic Type
"Wow klonopin helps so much it's amazing, but I'd rather be prescribed xanax to actually feel happiness 😔"	Eastern Time (US & Canada)	EDGE LORD	en			
@KatyaDovana Haha off her meds..... time to slip a Klonopin in mother nature’s martini again 🙄.... bitch is out of control	Mountain Time (US & Canada)	"Los Angeles, CA"	en			
"I cut half my hair off, had a panic attack, took a couple klonopin, now I’m watching dr Phil, might cut more hair off"			en			
@theseacorpse i’m lexapro and klonopin lmfao			en			
"@marx_knopfler Love the fighting, -10, Rosa Luxemburg references, +5, but hate the 50 klonopin insult, -10"			en			
"on the plus side, the klonopin has eased my anxiety. on the bad side, i really don't care about anything and would like to nap under my desk"	Pacific Time (US & Canada)	The Land of Chocolate	en	klonopin	anxiety	indication
@marx_knopfler Take a klonopin or something and then come back to me.		"sexting, probably"	en			
"I'm up! Klonopin and various other morning medicines taken, so we're good there. Now for a day of Twitter rambling. Yee 😈"	Pacific Time (US & Canada)	"Bakersfield, CA"	en			
I feel like such shit I shoulda taken a klonopin before work just a a half a mg to smooth me out.	Arizona	Pottawatomi territory	en			
"Tramadol, an atypical oral analgesic, appears to be effective."	Bucharest	New York	en			
@greyXstar @jlou_2 @chrislhayes @waltshaub My analgesic of choice is single malt.		"Seattle, WA"	en			
"Coworker: Is it 430?

Me: (Holds up a tube of oral analgesic gel) No, it's tooth hurty!"	Eastern Time (US & Canada)	RVA	en			
"analgesic : A skin condition that enlarges blood vessels in the face, causing redness of the nose and other parts of the face."		"Dallas, TX"	en			
@jamilinAdnan jamilin are trash also	Beijing	ggmu 💕	en			
@elnouraksa Take an analgesic and you'll be fine 👍👍		"Riyadh,Kingdom of Saudi Arabia"	en			
"Flupiine (ovulation inducer)
Used recreationally as an analgesic
Decreases the asleep effects of Xanax"			en			
analgesic : A fibrous protein that is the main component of connective tissue in the body.		"Dallas, TX"	en			
@laurenduca @LDsquidtastic If AR stood for Analgesic Reliquary it would not make a femto-dif to the discussion.		North America	en			
"@paisleyrae @jjarmasz @FuzzyWuzzyTO @SOTEfilms @vickersty @rubyhurlbut Butter your sore cyclist buns with analgesic cream, Pastry Rae."	Atlantic Time (Canada)	"Toronto, Ontario, Canada"	en			
Caller says his girlfriend is breaking his car windows w/ a brick and she might be off that narcotic. #ChicagoScanner	Central Time (US & Canada)	Chicago IL 	en			
@narcotic_kitten further proof euthanization is required	Pacific Time (US & Canada)		en			
"Every form of addiction is bad whether the narcotic be alcohol,  or morphine,  or idealism.....Carl Jung"	Arizona	A Proverbs Researcher!	en			
"@narcotic_kitten Be honest with us, you noticed this cause you were looking to eat the Chicken Fingers didnt you."		Rich Port	en			
@narcotic_kitten Ballsy	Buenos Aires		en			
#nowplaying Safe From Harm by Narcotic Thrust		"London, Cambridge"	en			
@narcotic_kitten how did it turn out	London	United Kingdom	en			
@narcotic_kitten Tbf 4k!ds technically doesn't exist anymore	Pacific Time (US & Canada)		en			
@nik_narcotic Maybe they were really suicidal and though the SS were doing them a favour.	London	South Wales	en			
@deportablediz They sure did support Hitler from inside concentration camps.	Amsterdam		en			
"Marijuana is not a narcotic; it is technically an Oriental herbal medicine which Koreans have used for 5,000 years. Kim Bu-seon #420"	Tokyo	Tokyo	en			
Revolt giving niggas a platform to say dumb shit like that. White boy look like he on that narcotic	Quito	Baltimore to the South	en			
"Every form of addiction is bad, no matter whether the narcotic be alcohol or morphine or idealism.  Carl Gustav Jung #carlgustavjung"	Central Time (US & Canada)		en			
Now playing: 'Narcotic' by 'Liquido'	Bern	"Zofingen, Switzerland"	en			
@MrClemps Final Fantasy 8	Amsterdam		en			
"When you want a specific manufacturer of a particular narcotic, you're an addict or trafficking. #WhyYourPharmacistHatesYou"		United States	en			
Lets get real HERE!! Narcotic Addiction is a NATIONAL SECURITY THREAT!!			en			
Only narcotic I indulge in is women		In Numidia rubbing on Dihya	en			
Grew up in the crack era. Yeen never gotta worry bout me on that narcotic. Saw too much.	Pacific Time (US & Canada)	Earth	en			
Narcotic Cops he crooked as hell #SevenSeconds	Pacific Time (US & Canada)	"Los Angeles, CA"	en			
@whenwhy876 i'm loopy due to narcotic pain medication and craving meat			en			
"@Lexim96 CBD, kratom, or if you want actual medication neurontin (gabapentin) isn't a benzo, non narcotic and helped with me anxiety"	Eastern Time (US & Canada)		en			
@whenwhy876 i'm loopy due to narcotic pain medication and craving meat			en			
@mheavyhead @b9i19 That opiate problem is a prescribing doctor problem and a shipment tracking problem.			en			
"@Wv_Cannon @foxnewspolitics Remember, prescribed opiate patients are not addicted, they are opiate dependent. Get educated"		"Seattle, WA"	en			
Religion is the opiate of the masses  #Marx #ComeyHearing			en			
@pointsonpain @AnnaDeavereS @HHSGov The so-called opiate epidemic has nothing to do with legit pain patients needing pain medication.		"Massachusetts, USA"	en			
@chronicpainwar A person with one kidney can only take opiate based medication because they cannot have antiflamatories		"Victoria, Australia"	en			
@pointsonpain @AnnaDeavereS @HHSGov The so-called opiate epidemic has nothing to do with legit pain patients needing pain medication.		"Massachusetts, USA"	en			
"Opioid abuse is the leading cause of DEATH for people under THE AGE OF 50- in The United States.

Pretty sad.
~ tass🕉"		"Oregon, USA"	en	opioid	cause of death	ADR
@CrazyRxMan Is this opioid epidemic mess making your work life a living hell?			en			
@DonSmit95028268 @NanaSewDear @realDonaldTrump It is not about people who need pain medication. It is about opioid abuse.	Pacific Time (US & Canada)		en			
Casual reminder that pain-patients in the US outnumber opioid abusers 50 to 1 &amp; taking medication is not the same as abusing drugs.	Dublin	Northern Ireland	en			
@debster7301 @FoxNews I agree. I’ve had 4 spinal surgeries and would die without pain medication. 😏		"East Patchogue, NY"	en			
"Marijuana is the oldest natural, purest, and healthiest pain relief medication in the world. It's use dates back to 10 B.C."	Central America	El Paso	en			
"@jessnotrabbit your back will not hurt after you take some frickin’ medication to make all that pain disappear , mark my words."		"houston, tx."	en			
"@dbongino @teacherchef58 So too does the war on #opioids target law abiding citizens, patients &amp; drs who rely on pain medication"		"Cypress, CA"	en			
Treatment of #endometriosis includes medication and surgery for both pain relief and treatment of infertility if pregnancy is desired.	Bucharest	Los Angeles	en			
@DominicIannone I broke out a Steven Seagal movie now...pain medication wearing off...but the victory is still running strong!	Pacific Time (US & Canada)	"Iowa City, IA"	en			
And my decision to pass on pain medication shouldn’t offend anyone 🙄	Alaska		en			
@_ceekaay They love that pain medication. A lot of them are addicted to it. Frequent flyers.			en			
How much pain medication can someone take without dying? Asking for a friend. 😓	Atlantic Time (Canada)	"Pittsburgh, PA"	en			
"Marijuana is the oldest natural, purest, and healthiest pain relief medication in the world. It's use dates back to 10 B.C.”"	Pacific Time (US & Canada)		en			
@KinguFerunandes Because im in pain and dont have medication. And im hungry	Pacific Time (US & Canada)	❤︎ : ???	en			
"I’m over this weather. My day ended with a torn meniscus, crutches and pain medication :( — feeling sad"	Eastern Time (US & Canada)	"Schenectady, New York"	en			
"@DrBeniRusani dear doctor, is there any suggestion or medication on how to reduce pain of ulcer? (Ulser bibir &amp; ulser lidah)"	Alaska	"Seremban, Negeri Sembilan"	en			
"a chatterer is a polypharmacy: axiomatical, yet reproachless"	Pacific Time (US & Canada)		en			
"Polypharmacy can certainly contribute to constipation issues: A few common classes that cause constipation - TCA's, Opioids, CCB's #pharmacy"		Minnesota	en			
@DrHollyHolmes @novacarerx Pharmacist need to step up to the plate more when they see this kind of Polypharmacy and more legal Say also.			en			
@novacarerx True!! The game of inappropriate polypharmacy one-upsmanship is very dangerous!!!	Eastern Time (US & Canada)		en			
"#OAnalyticsSummit18 Polypharmacy - bitter pill to swallow, harder to pronounce"	London	Not where I want to be	en			
@jcdpb I took a cough medicine with Codeine and it’s done nothing. I’m beyond help. This is how I will die.	Central Time (US & Canada)	"Levelland, TX "	en			
My man is truly a blessing 💖	Pacific Time (US & Canada)	la xingada	en			
heard codeine			en			
spent my last on codeine I was dumb as fuck	Pacific Time (US & Canada)	satx/htx	en			
codeine kill my kidneys eatin up my ribs	Pacific Time (US & Canada)	Arkansass	en	codeine	eating up my ribs	ADR
Saint Sammy Ganjah.... Saint Sammy Ganjah.... slow down on a codeine diet..... Dj Enimoney ti wa online Bayi 🎶 🎼 🕺🏾		"Lagos, Nigeria / MD, USA"	en			
I’m emotionally moved every time I listen to Codeine Crazy	Eastern Time (US & Canada)	"The 7, IL // Osh, WI"	en			
"I’m going crazy baby, I’m going Codeine crazy ❤️"			en			
i fell in love with codeine		"Austin, TX"	en			
I be sipping codeine kicking flavor	Pacific Time (US & Canada)		en			
"Codene,get a sip#PoorLifeChoicesIn4Words"		"Harare, Zimbabwe"	en			
Comes to something when even codene won’t get rid out the pain of cramp 😭	Amsterdam		en			
@Faatima_07 Codene	Hawaii	Jhb 	en			
"@AineCarson1 I’ve a mouth abscess &amp; am on Amoxicillin. And Codene. And rum. 
I’ll either be obnoxious or comatose. 
Hope for the latter."		Belfast	en			
Contemplating the potential for a reality tv show about child celebraties turned addicts called “The Secret Life of Zack and Codine”		"Swarthmore, PA"	en			
I'm codine dreamin		diamond city	en			
Broken wrist so no training even struggling to do spin class can't hold on 😡😡one unhappy bunny +side codine is not bad 😂		aberdeen	en			
#IfMenWereGod Jesus will be on earth slowing on a codine diet	Pacific Time (US & Canada)	"Lagos, Nigeria"	en			
Mmm. Diazepam and 30mg codine. Takes the edge off a bit.	London	A sad little rock near Europe	en			
@CassandraRules Codine Cough Syrup		#2ndAmendment #MAGA #Trump	en			
@CassandraRules Codine	Arizona	El A	en			
"@Gacheru_Wangai The neurosurgeon was on a codine diet. 
#saintsamiganja
#smile 
#laugh"	Pacific Time (US & Canada)	Lagos	en			
"“You fell in love wit a nigga drinkin Codine. How you gon fall for a nigga drinkin Creatine?”
😂 Nah yo..."	Eastern Time (US & Canada)	"Philadelphia, PA"	en			
#BBNaija why will you take codine and smoke weed at d same time and tell me you are watching BBN from your TV bro u are seeing from above			en			
@pita88694867 @jason_zaram @IAmMooree @orangee1580 @BBNaija He can fly wen he is  on codine diet let him be pls its hard to explain to them			en			
@fash_ngobese Two white cup full of codine and plus I've got two white sluts down to blow me		"Cape Town, South Africa"	en			
@ericbolling What is Opioid? Is it Codine? Is it Meth? What pills do we look for? What devices?		Northern CA	en			
"🎵Codine dreaming it comes thru thru, that's my spaceship Blu Blu, my milky-way got pregnant she said it's for yoo-hoo 🎵"		mars	en			
Awake in a codine haze worrying that the house will fall down in the wind. Just your average Friday morning really.		"Croydon, London"	en			
@charles04214862 @JoeMalcolm97 @PaulDock93 @WeeDannyMcManus @kylechristie0 Shut up codine		"Paisley, Scotland"	en			
Slow down on a codine diet	Alaska	"Lagos, Nigeria"	en			
arsenal player's are on codine diet	Arizona	Lagos	en			
I used to think my mom and I were odd because we don’t react “right” to drugs like Sudafed or Codine. Now I know it’s cause we’re not men.	Mountain Time (US & Canada)	"Five Points, Denver, Co"	en			
"@Ali_McHenri Was on a codine level...
wen I heard gun shots, I thought I was running very fast buh I was just on a fucking spot dat day...."		"Suru, Nigeria"	en			
@Akiishic Let Bbnaija provide codine and weed for them biko.		 Nigeria	en			
Cameraman on a codine diet low key misbehaving#BBNaija	Athens	Nigeria	en			
Codine Crazy how			en			
Don’t tell my mom but I’m about to take a shot of codine. Shhhh		the 818	en			
codine more like coDINE on some pizza		"Toronto, Ontario"	en			
"@DeadiyRooney Last time was paracetamol.
It goes: paracetamol, codine, morphine in-terms of painkillers"	Pacific Time (US & Canada)	"Guildford, England"	en			
Buffy Saint-Marie - codine	Eastern Time (US & Canada)	Boston College	en			
"""she's not checkin' her codine level's"" - @savannah_m_e 😂😂💀"	Mountain Time (US & Canada)	"Wyoming, USA"	en			
This codine theyve given me help my heart pain honestly doesn’t do anything apart from making me feel spaced out and yuck	London	"Swindon, England"	en			
@dustybingrl Girl I took codine last night for my ankle and I was flying I swear to god	London	"Cardiff, Wales"	en			
"""Whos tryna OD on fentanyl before we leave?"" - William"	Pacific Time (US & Canada)	Brianna's Heart❤👅	en			
"@cmoraff @onit4you Remember a while back we were talking about the end game with fentanyl, to replace heroin. Fucked up world we living in 😱"	Eastern Time (US & Canada)	NYC	en			
@THEChatGris Cut with artisan baby laxative and free range non-GMO cold pressed fentanyl	Mountain Time (US & Canada)	Nibelheim	en			
This is messed up but I have no other option. I'm gonna take a hydrocodone for my back pain.I was prescribed it before.	Mountain Time (US & Canada)	"Cydonia Valley, Mars (Utah)"	en			
Took a hydrocodone lmao and it aint do shit to me .. 😭😭	Arizona	803 ➡️ 334	en			
i took one hydrocodone and i feel good af		Amish	en			
@RSantosTV They didn't give you 800 mg Ibuprofen or Hydrocodone?	Central Time (US & Canada)	210 is home.	en			
"@realDonaldTrump my husband takes hydrocodone for his arthritis, but my son was addicted to heroin. see the difference?"			en			
@BrightCellars What wine pairs best with hydrocodone? #PainPills		Magic Johnson’s TGIFriday’s or Ryan White Castle	en			
@ThomasKlineMD I was on 300mg of morphine a day for 15yrs. Walked in one day and told them to take me the fuck off. Now on hydrocodone.	Mid-Atlantic	To be determined..	en			
@ineedcoughsyrup I'm waiting for them to be filled tbh. Hydrocodone		Rhode Island	en			
"@CassandraRules Dihydrocodeine. Or hydrocodone, in the US. So Vicodin, basically."	Prague		en			
So does hydrocodone make anyone else horny or is it just me.		Egypt	en			
Hydrocodone is great 😂		⬆️	en			
Apparently my migraine doesn't give a damn about hydrocodone. I foresee a trip to the ER in my future.	Central Time (US & Canada)	The Empire	en			
This hydrocodone liquid medicine they got me on got me on my ass 🤦🏽‍♀️	Central Time (US & Canada)		en			
"@CrazyRxMan But that hydrocodone is for my tooth pain and the other hydrocodone is for my fibromyalgia...

Sigh"		"Texas, USA"	en	hydrocodone	fibromyalgia	ADR
"@LadyAlthaea no, we are on the outs becuz MrB contacted his methadone program about.  Perhaps this was the secret in my reading.Feels awful"	Eastern Time (US & Canada)	"In a book, gardens or tube"	en			
@thebradfordfile I always see a line at the methadone clinic as it is.   And it's not a place i necessarily like to walk by.	Pacific Time (US & Canada)	"California, USA"	en			
@KamVTV @dlccld1 @realDonaldTrump Methadone clinics have been dismal failures for decades and now this?			en			
"@cl8447 @markbutler2481 I know plenty of people who have achieved great thing, even CEOs, who have been on #methadone replacement therapy."		"Melbourne, Victoria"	en			
@ConservaMomUSA Because Methadone Clinics have helped so much. 🤦🏻‍♀️			en			
NEEDS methadone.			en			
"@offtheballbbc Oops, my third post on this: a methadone clinic of Brechin fans?"		"Arbroath, Scotland"	en			
"DPLA Subject Haiku #30769

Ships--Remote sensing
Orbital transfer (Space flight)
Methadone abuse"			en			
@Painweb All opioid prescription should include a rehab wrap up. Who knew methadone was so hard to quit.			en			
Have ambiguous genitalia?You probably have Toxic Shock Syndrome.This causes a total eclipse of the heart.Try Methadone			en			
Have an ear ache?You probably have Claustrophobia .This causes closing of the throat.Try Methadone			en			
Have an explosive temper?You probably have Anorexia.This causes closing of the throat.Try Methadone			en			
"just like nicotine, heroin, morphine 🎶"	Pacific Time (US & Canada)		en			
"Lidozogra (antipanic agent)
Prescribed for clinical dump
Obsoleted by morphine"			en			
"Nicotine, heroin, morphine."	Arizona		en			
“Another shot of morphine” Mom: “god I need that right about now.”			en			
"@yoyoanne30 Nicotine, heroin, morphine!"	Urumqi	"Ternate, Calabarzon"	en			
[heavy metal] MORPHINE. Get a message to the fleet! We have to warn-warn-waa---a--Oh! Wuagh! Wuagh! Wuagh! [high voice] SARG!			en			
"Every form of addiction is bad whether the narcotic be alcohol,  or morphine,  or idealism.....Carl Jung"	Arizona	A Proverbs Researcher!	en			
"JUST LIKE
NICOTINE
HEROINE
MORPHINE
SUDDENLY, I'MA FIEND
AND YOU'RE ALL I NEED 🎶"			en			
"Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need"			en			
#NowPlaying The Rolling Stones - Sister morphine Sister morphine The Rolling Stones	Paris	Marseille	en			
"Nicotine, heroin, morphine *with feelings &amp; high pitch voice"			en			
@Marisa_Nicole21 I had one last year. I had to have morphine. 😂			en			
"#Morphine may increase cancer recurrence, but #oxycodone and #tramadol may not. Not all #opioids are created equal."		"Adelaide, Australia"	en			
"nicoTINE, heROIN, morPHINE
oH gaWD
it'S iN mY heAD
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"	Pacific Time (US & Canada)	"1717 street, Caratland "	en			
"just like nicotine, heroin, morphine
suddenly, I'm a fiend and you're all I need 🎧"		no. 1 fan parin ni kowdi ❤️	en			
"“Just like nicotine, heroine, morphine”"	Atlantic Time (Canada)	The world 	en			
"Every band at this show sounds like the Beach Boys as interpreted by aging, morphine-addled baristas"	Atlantic Time (Canada)	"Annapolis, MD"	en			
"HPR800XD 6 AXIS CNC PLASMA MACHINE WITH BEVEL HEAD AND PIPE CUTTING AND 2 UNIT OXY TORCH 

#plasma #hypertherm #cnc #turkey"	Athens	Bursa	en			
"""They don't love you they just wanna borrow your Aurenautica cap."" -Ta Shaun"		Cape Town	en			
You know you are doing something right when la oledi athi amajita uyathakatha greets you with a smile		Cape Town	en			
@2011LilWayne Hey can I get some oxy	Central Time (US & Canada)	"Council Bluffs, IA"	en			
"@Sloppy_Oxy_Scum fuck em, you’re for sure one of the most talented musicians I’ve ever met fam ❤️"	Eastern Time (US & Canada)	"Joplin, MO"	en			
Oxy men are creating a revolution rn.		"In a body, somewhere on Earth."	en			
Back is in so much pain I just took expired oxycod 👌	Arizona	"Prescott, AZ"	en			
"#Morphine may increase cancer recurrence, but #oxycodone and #tramadol may not. Not all #opioids are created equal."		"Adelaide, Australia"	en			
this oxycodone the doctors got me on really something different		ruining somebody's son life 	en			
"roses are red
I have the spins
Oxycodone in bed
A good nights sleep for the win"	Pacific Time (US & Canada)		en			
@JaneyTheSmall Seems I took 30mg of oxycodone at once.	Melbourne	"Somewhere between T & Q , Melbourne, Australia"	en			
"@clinteas @coopesdetat @ketaminh In Australia, oxycodone syrup is used for kids’ analgesia - much better than painstop!"	Sydney	"Tenambit, Maitland (NSW)"	en			
@TuckerCarlson I've tried many things the last 35 years to relieve  migraines. Only oxycodone helps. Last resort for Docs not 1st.			en			
@TuckerCarlson I'm a 68-yr-old woman. I've had chronic migraines for over 35 years &amp; oxycodone is my only relief. Getting harder to get!			en			
@clinteas @coopesdetat @ketaminh oh and I work in Australia. Oxycodone is used here in children. #justagp	Perth	"Mt Barker, Western Australia"	en			
@coopesdetat @ketaminh What country lets you give Oxycodone to children? In AU can't even use Painstop.	Melbourne	"Queensland,Australia"	en			
@aterkel @chrislhayes @jamieson Clean energy jobs or oxycodone  they chose			en			
Guys .. oxycodone is the shit. I feel NO pain when I take it #lifesaver	Eastern Time (US & Canada)	Hogwarts	en			
@Quakes98 almost done that when taking oxycodone after knee surgery . oup	Pacific Time (US & Canada)	up the wazoo	en			
@Lemieux_26 @LukeGromen Mostly picked up an unhealthy love for amphetamine and to come down they landed with oxycodone.		Earth	en			
"@RedTRaccoon Looks like an extreme forehead lift and a shit ton of subsequent Botox. And, maybe about 100mg of Oxycodone..."		Indiana	en			
@greggutfeld  you are absolutely right. It’s my greatest fear. I have been taking oxycodone and morphine for almost 13 years.		"South Carolina, USA"	en			
IM COMING BABY @OXYCODONE		Philly(Bottom side of Uptown)	en			
"@jjmacnab Wow, who the hell...? Must be the bath salts, or maybe the oxycodone"		"Ridgefield, CT, USA"	en			
"@Newsweek Opiod abuse isn't an issue in your state either, if you don't know anyone strung out on Oxycodone."	Eastern Time (US & Canada)	"Washington, DC"	en			
Lmfaoo omg Aaliyah ain’t know what oxycodone was she kept saying It I️m like you know them percs 😂😂😂😂😂😂😂😂	Atlantic Time (Canada)	iampebbles17	en			
@sagenorthcutt I was working 3 jobs raising 1 parent and addicted to oxycontin at 22.		At your front door waiting for you to let me in.	en			
Percocet and xanny bars	Pacific Time (US & Canada)	10/21/2015	en			
They gave me a Percocet for pain and my teeth have been clenched for the last 15 min.			en	percocet	teeth have clenched	ADR
"I fuxk a vegan bitch 🌱
She pop a percocet like a flaxseed 💊"	Eastern Time (US & Canada)		en			
Out here live sipping lean crying popping Percocet’s		"Edinburg, TX"	en			
XANAX PERCOCET THE THINGS IM MASHIN MY NIGGAS GET TRENDY LIKE THEY WORKED IN FASHION	Central Time (US & Canada)	"Minneapolis, MN"	en			
Thank dog for percocet... I'll be able to sleep tonight!	Mountain Time (US & Canada)	SLC	en			
@Jackson919 Only percocet you can drink with alcohol. You can't drink alcohol with vicodin because don't be a pussy. Go big or go home	Quito	Here I be 	en			
"Okay serious question, who has Percocet"			en			
If I could rewine time like a tape inside a boombox one day for every pill or Percocet that I ate.	Kuala Lumpur	"Detroit, MI"	en			
"@Chibebe5 It was sarcasm. You can't buy fentanyl at Kroger.  You can, however, get it on the street for less than a black market Percocet."	Central Time (US & Canada)	"Farmville, VA"	en			
percocet and codeine please don’t take my life			en			
I’m poppin Percocet bitch not Advil	Eastern Time (US & Canada)	Da stead	en			
"“I got aim w/ that small 9, I fuck ‘round shoot ya chin. Percocet hit you so hard, might drop your juice &amp; gin...” @valee"	Central Time (US & Canada)	MN	en			
These people than gave me a Percocet 🤣🤣 im about to be outta there	Central Time (US & Canada)		en			
I smoked a blunt laced with a percocet... NIGGGGGG I DIED			en			
"Dropped out of school hopped in a private jet, bitch im gone off lean i dont pop no Percocet!"		Milwaukee WI	en			
I just need a Percocet		DYCKMAN 💸	en			
"The doctor said he's gonna give me Percocet and I was tempted to say ""you got any Molly to go w that"" 😂😂"	Hawaii	"Lorain, OH Columbus, OH"	en			
percocet come out my pores		"West Hollywood, CA"	en			
"So @seaachellee  was playing music and I hear ""I fuck a vegan bitch, she pop a percocet like flax seed"" FIRST of all, flax seeds are nasty"	Pacific Time (US & Canada)		en			
"percocet pill on me
ice on my neck
baby,chill’ with me"			en			
i’m on percocet valium and adderall rn	Pacific Time (US & Canada)		en			
"@50k4L I pop a percocet , pink like my drink 😛"		NELA	en			
"@lildurk - cross roads.  Percocet comin out my pours, you don't feel it when they dieeee till it happens to yoursssss"		Milwaukee Wisconsin 	en			
I need Percocet		"Marietta, GA"	en			
"“Wait—.”
     He looks at the bottle he assumed was his wisdom teeth Percocet. .

   It's fuckING VIAGRA."		⠀⠀⠀⠀ℛegina? ℂananda? — ❲mcrp❳ 	en			
That water beat is a timeless classic @iAMBANDPLAY	Pacific Time (US & Canada)	"Columbus, Ohio Zone4 "	en			
"a chatterer is a polypharmacy: axiomatical, yet reproachless"	Pacific Time (US & Canada)		en			
"Polypharmacy can certainly contribute to constipation issues: A few common classes that cause constipation - TCA's, Opioids, CCB's #pharmacy"		Minnesota	en			
@DrHollyHolmes @novacarerx Pharmacist need to step up to the plate more when they see this kind of Polypharmacy and more legal Say also.			en			
@novacarerx True!! The game of inappropriate polypharmacy one-upsmanship is very dangerous!!!	Eastern Time (US & Canada)		en			
"#OAnalyticsSummit18 Polypharmacy - bitter pill to swallow, harder to pronounce"	London	Not where I want to be	en			
"#TweetLikeFacebook

Team no sleep 
Drop your 10s"		On the Road	en			
"@JETTEATSASS yeah. you’re probably too old. you should take a vicodin and go to bed, old man."	Pacific Time (US & Canada)	hustlerhq.	en			
"Vicodin doesn't cause rash, fever and joint pain. Does make Taub considerably less annoying."			en			
the vicodin is getting to me someone stop me from buying this jaclyn hill palette			en			
"@iits_kennedy19 I had my tonsils infected 3 times. I got put on Vicodin, steroids and a Tylenol. It was the worst. I just slept all day."		"Reedsburg, WI"	en			
@Jackson919 Only percocet you can drink with alcohol. You can't drink alcohol with vicodin because don't be a pussy. Go big or go home	Quito	Here I be 	en			
I could down a whole bag of Cheeto puffs right now.......Vicodin has totally kicked in. 🙄🙄🙄🙄	Eastern Time (US & Canada)		en			
@gongfy @hardhouz13 Probs hurts a lot less now with the vicodin than it did before out. Congrats to pain free big toes!	Pacific Time (US & Canada)	"Gainesville, FL earth"	en			
"@TRUMPARMY2020 Take two bottles of Vicodin and call me in the morning, if you wake up!"		"Indiana, USA"	en			
"i took vicodin because my stitches fell out, so i'm chatty."	Eastern Time (US & Canada)	nj	en			
"#MyPersonalMixedDrink
Martini with 2 Vicodin pills..not stirred"	Arizona	Arizona 	en			
Just chewed up a Vicodin like some sorta meth head	Pacific Time (US & Canada)	"Idaho, USA"	en			
"hey mmaaannnn are these some special brownies ? ;)
yeaaaa broooo 15 crushed up Vicodin in each square ;)"	Pacific Time (US & Canada)	the comedown	en			
@ITMOMPOD Thank the Vicodin	Atlantic Time (Canada)	"New York, NY"	en			
@ebjens LOL okay. Noted. I will take the vicodin.		"Oakland, CA"	en			
 If Vicodin has a smell you better bottle that shit and send me some.  P.s I've got my own botte of white diamonds.845:845	Pacific Time (US & Canada)	"West Hollywood, CA"	en			
"@Destinyfaith111 Vicodin Keeps me goin, call me Dr. House"		ODU '21	en			
@mary__agan 😂😂😂 That's funny! Vicodin will make you feel like you can be a superhero lol I'm glad to hear he's doing well though!			en			
NICOTINE 👏 VALIUM 👏 VICODIN 👏 MARIJUANA 👏 ECSTASY 👏 AND 👏 ALCOHOL 👏	Eastern Time (US & Canada)		en			
@ashleyfeinberg Looks like a dog on Vicodin.	Eastern Time (US & Canada)		en			
Sniffing Vicodin in Paris never felt so euphoric	Eastern Time (US & Canada)		en			
"@CassandraRules Dihydrocodeine. Or hydrocodone, in the US. So Vicodin, basically."	Prague		en			
@kica333 I before e except after analgesics. Duh.	Eastern Time (US & Canada)	Atlanta	en			
"The rupture of an ovarian cyst is usually self-limiting, and only requires expectant management and analgesics."	Kyiv	Newcastle	en			
@good_grandma @NBCNews Neuropathic pain not responding to non narcotic analgesics..			en			
"Although medicines are commonly prescribed for the treatment of sciatica, evidence for analgesics is poor."	Kyiv	United States	en			
Two analgesics and needed.			en			
@BTS_ARMY_INT @BTS_twt Aww did you try taking analgesics? #BTSARMY #iHeartAwards #BestFanArmy @BTS_twt		Cosmos	en			
I’m so thankful and greatful for analgesics. 🙏🏻		"Riyadh, Kingdom of Saudi Arabia"	en			
Specific agents such as triptans or ergotamines may be used by those for whom simple analgesics are not effective against a migraine.	Bucharest	London	en			
Initial recommended management of #migraine is with simple analgesics such as ibuprofen and paracetamol for the #headache.	Bucharest	London	en			
"Beat:M3, NARCOTICS, OTHER at 15XX BLOCK OF 7 AV reported on 3/2/2018 10:05 PM, Call# 18000076520"	Pacific Time (US & Canada)	"Seattle, WA"	en			
"@zibusisoe too much alcohol, narcotics and old mensa 🍆be degrading amaYellow"		"Bulawayo, Zimbabwe"	en			
@StopTheSpeaker Well at least he brushes his teeth and doesn't use illegal narcotics. Sounds right		"London, England"	en			
"Just gimme a chick,a bathroom,and some narcotics and we gon party"		Indiana/Chicago/Florida	en			
"I was doing so good... and I’m back on narcotics...
I just want this pain to go away ."	Eastern Time (US & Canada)	Work 	en			
"""What if you're in a situation where you have to grab another teachers crotch or give a student narcotics"""	Atlantic Time (Canada)	with the bae 	en			
"Beat:G1, NARCOTICS, DRUG TRAFFIC LOITERING at 8XX BLOCK OF JEFFERSON ST reported on 3/2/2018 9:19 PM, Call# 18000076101"			en			
"BPD 911 Dispatch: NARCOTICS INSIDE | 1100 W NORTH AV | Sat, Feb 17th 2018, 5:42 pm | Medium | P180481804"	Eastern Time (US & Canada)	"Baltimore, MD"	en			
@globeandmail @MikePHager @GlobeBC Wow great 👍 let’s legalize all narcotics a lot more taxes to be earned	EST		en			
"swatches, drugs, adidas things, opiates, nice ppl"			en			
"@ShannonBream I rarely ever was prescribed opiates, even when in pain."		Arizona	en			
@soundblaster16 Everything is good as hell on opiates except for tryna take a dump		"Florida, USA"	en			
@sexualjumanji Heroin is from the earth as well lol they’re both opiates and their withdrawal is gnarly. The more you know.	Mountain Time (US & Canada)	Jerusalem	en			
Source games are good as hell on opiates	Eastern Time (US & Canada)	north	en			
