Text	Country by Zone	Country by Location	Lang	Drug	Annotated Text	Semantic Type
Skipped my analgesic injection so I ended up skipping classes cuz I couldn't sleep but ok	Beijing	Kuantan - Mans	en	analgesic	couldn't sleep	
When Vicodin doesn’t even touch your pain		at home	en			
@Agent_Penny I'm pumped full of morphine.	London	London	en			
@_IHateEvery0ne I need to watch Seinfeld on heroin more often	Pacific Time (US & Canada)	 ⭐️	en			
@chelseahandler You outta try fentanyl.	Central Time (US & Canada)	Music City	en			
"@mviser You can tell from his demeanor and eyes that he is an opiate addict, that’s not just no sleep he’s young."			en			
"You can shoot heroin, I can sniff cocaine,"	Pacific Time (US & Canada)		en			
"Is it a red flag that this guy told his girlfriend he’s cutting his son, who’s addicted to heroin, out of this life? #JWTK 317-239-1009 💉💉💉"		"Indianapolis, IN"	en			
a codeine is a perforation: antifertility and histopathologic	Pacific Time (US & Canada)		en	codeine	antifertility	
"Oxyprone (analgesic)
Used recreationally as a vitamin
Notable for its frowzy effect"			en			
Don’t nobody care about standing for the National anthem. Until we change it to Codeine Crazy. I’m good on it.	Quito		en			
"tastes like nicotine, heroine, morphine"	Seoul		en			
Trent Cody and Justin are my brothers #HaroldBot	Pacific Time (US & Canada)	a cabin	en			
@tillyraymond98 There is no equality for young people everyone treat ya like ya got An heroin needle anging out ya arm		"Stoke-on-Trent, England"	en			
Religion is the opiate of the masses  #Marx #gorsuch			en			
@AdamBWriting they replace heroin with batshit insane levels of overwork and anime	Casablanca	Knee deep in the dead	en			
/ speaking of Heroin /	Pacific Time (US & Canada)	1.67E+14	en			
The codeine has just kicked in...I feel like I could fly!	Dublin	"Scotland, United Kingdom"	en			
"Just like nicotine, heroin, betchin🎤"	Pacific Time (US & Canada)	National Capital Region	en			
@Cody @itsAlcoholPorn Ya I would be into this!!	Pacific Time (US & Canada)	"Los Angeles, CA"	en			
"I'm sorry that I'm not like you. I'm sorry that I don't act the way you want me to. - porcupine Tree, Pure Narcotic @garretk18"		Indiana	en			
@thehill @FLOTUS needs to be checked for Opiates with the shit she writes.	Pacific Time (US & Canada)	Omaha	en			
Poppyseeds are not Heroin George	Pacific Time (US & Canada)	1.67E+14	en			
"@BDPeacock @CodyRoarkNFL Great poD.. Cody, do people ever say you sound like a young Gruden 😂"			en			
"Just like nicotine, heroine, morphine Suddenly, I'm a fiend and you're all I need💕 Lss ko anu ba😂"	Urumqi		en			
Me and Cody crack up when Kendall says full sentences bc it’s so cute and weird 😂	Central Time (US & Canada)		en			
"@JawanSnow Hope it comes out as good as Narcos, Desi TV needs total revolution."		 India	en			
@SonofLiberty357 Jake Tapper is an oxy moron for a journalist		"Arizona, USA"	en			
@cnni Pill poppers are really just heroin addicts as well.			en			
No matter what I'm keep doing me none of you fake ass Yung Codeine's will be like or better than me	Tijuana	"Antioch, CA"	en			
#realDonaldTrump it is time to include chiropactors into the military.  We have proven to Lower healthcare cost and Opioid adiction		"Lake St Louis, MO"	en			
I've got a new knee and I believe the morphin is wearing off. Any advice?			en			
Religion is the opiate of the masses  #Marx #MondayMotivation			en			
"@MyNameIsByf Thats what morphine and the release of endorphins are for.

So ive been told."	London	Trapped in a cell waiting to fulfil my Destiny an rule Tamriel	en			
@JulieChen I LOVE this idea! Great thought process Cody and Jes! &lt;3	Eastern Time (US & Canada)		en			
"Veterinary medicine uses, for actual or potential animal pain, the same analgesics and anesthetics as used in humans."	Monterrey		en			
"@fIatcat65 @Fr8oCorleone Try heroin,,,lots of it."		"Boston, MA"	en			
I can even understand doing heroin but mixing drugs with gasoline sound really gross.	Helsinki	surviving zombie apocalypse	en			
@1057FMTheFan @EatAtPerkins #CWLunch I agree with Cody. A Falco jersey. I would also wear a Mean Machine jersey (Burt Reynolds version).		"Milwaukee, WI"	en			
@talliaoyando @HomeboyzRadio pleaze play for me Narcos by Migos and then hit me up.. 0700313714			en			
@mattkms @codingneko Cody suck my cock irl	Pacific Time (US & Canada)		en			
"Nicotine, Heroin, Morphine"	Pacific Time (US & Canada)	"Manila, Ph"	en			
"I'm at the Baseball Mound! (WHAT?)
I'm at the Morphine Cliff! (WHAT?)
I'm at the Combination Baseball Mound &amp; Morphine Cliff!"	Melbourne	On Jamaica Avenue	en			
When it comes to getting bread Cody G &amp; friends got the keys to the bakery 🍞	Eastern Time (US & Canada)	"Upstate, NY"	en			
"@Crystal68310077 @realkodybrown and technically, Cody only has 1 wife"	Eastern Time (US & Canada)	United States	en			
Toothache like a mother fucker. Hydro and nyquil take the pain away back to bed night..		Egypt	en	hydro	toothache	indication
@cody_hur Oh fine cody	Adelaide	Unknown	en			
@1776Stonewall @beverlytwigg I'm in pain everyday and it helps me manage that pain without the use of really dangerous opioids.		United States	en			
I’m codeine dreaming 🤯		"Buffalo, NY"	en			
@abcdebris Interacts with the morphine and oxycodone in bad ways.			en			
Is it possible that all medicine other than robitussin is fake and has been deceiving me for the duration of this extended cold?	Eastern Time (US & Canada)	"Annandale-on-Hudson, NY"	en			
"BPD 911 Dispatch: NARCOTICS INSIDE | 4700 LIBERTY HEIGHTS AV | Sat, Feb 17th 2018, 5:37 pm | Medium | P180481789"	Eastern Time (US & Canada)	"Baltimore, MD"	en			
"Billboard Hot 100: #62(-4) Narcos, @Migos [4 weeks]. *peak: #36*"	Pacific Time (US & Canada)	new content daily	en			
We’re never going to see Rex and Cody reunited...	Central Time (US & Canada)	Coruscant	en			
"@JasonIsbell Same album, but Sister Morphine, Dead Flowers, Moonlight Mile."	Central Time (US & Canada)	"Galesburg, Illinois"	en			
"Life is really full of Shits ! 

The one thought to be a Hero / Heroin, turns out to be the Villain in someone else's Life 😶"	Almaty	"Dhaka, Bangladesh"	en			
"@SafetyPinDaily @PhilduranJ His job, you know, bringing world peace and stopping the opioid epidemic. So much winning on both fronts.🤥"	Quito	USA	en			
promethazine &amp; codeine got me drinking all this pain away	Arizona	"Orlando, FL"	en			
"The narratives of fear, not strength. Along the way, was a heroin addict who, in that earlier generations were insecure."			en			
UK National Grid: #Large #Hydro is currently generating 0.20GW (0.40%) out of a total of 48.72GW		unit	en			
There are two good things in my life rn : 1) i start medication tomorrow and I'll forget all the pain 2) dan	Pacific Time (US & Canada)	19 / djh ♡	en			
@michaelpfreeman DACA is to blame for the Chinese fentanyl pipeline. Now I've heard it all.	Eastern Time (US & Canada)	"Washington, DC"	en			
"You want it Hevy. Right.Oh,meteor shower. What the?! [high voice] Excuse me,General,incoming transmission from C-C-C-CommanderCommander Cody"			en			
#NowPlaying Cody Johnson - With You I Am on @TrueTexasRadio #TexasLoud #TexasProud #TxMusic247		"Texas, USA"	en			
@eliasgraham94 Hahaha I don’t remember writing that. I blame the morphine	London	Ba Sing Se / Manchester	en			
Looked at cody simpsons IG profile one day and now he's always on my explore page. Tangie sweetie...	Pacific Time (US & Canada)	fifth harmony by fifth harmony	en			
i remember when i used to stan cody herbinko. yike i miss stella:/	Pacific Time (US & Canada)	prettylonely™️	en			
@codythemarine @MarissaJWinokur Does it Cody?	Pacific Time (US & Canada)	Los Angeles	en			
@codyzammit Thanks Cody!😊x			en			
asmr taking heroin roleplay	Amsterdam	Callum's Corner	en			
"i miss hydro season,,"		"Ohio, USA"	en			
@jeneps @epaphotos He needs to lay off the opiates.		"Franklin Park, PA"	en			
Cody Lawler.....I want title shot dan dickin @MDickieDotcom			en			
I don't know how people loved Pablo Escobar in Narcos	Pacific Time (US & Canada)	"Beirut, Lebanon"	en			
@thehill Example of the opioid epidemic.			en			
"Billboard Hot 100: #89(+4) Codeine Dreaming, @KodakBlack1k Feat. @LilTunechi [13 weeks]. *peak: #52*"	Pacific Time (US & Canada)	new content daily	en			
Thank you @TIME for the new issue on the opiate crisis—a monument of journalistic quality and responsibility. Go read it.		"Portland, Maine"	en			
"Just like nicotine, heroin, morphine
 💕"	Asia/Manila	city of the dead at the end of another lost highway	en			
NICOTINE. HEROIN. MORPHINE.	Beijing		en			
Can't trust anyone who hasn't cried to Codeine Crazy at least once			en			
@cody_hur Everything ok Cody?	Adelaide	Unknown	en			
@CrowSensei i can’t wait for people at work to ask if i’ve been shooting heroin bc of the giant bruise that’s gonna appear on my arm	Atlantic Time (Canada)	埼玉	en			
"She's my sunshine in the rain
My tylenol when i'm in pain, yeah 🎵🎶🎵"		"Brisbane, Queensland"	en			
Why don’t I have an unlimited supply of tramadol??? Can’t deal with this pain	London	Hampshire	en			
This ape needs Vicodin HP!	Pacific Time (US & Canada)	"Oklahoma, USA"	en			
||. And can u believe I’m using Cody Christian because yES I AM.		nsfw. pansexual. mcu.	en			
"@y_doc_senoj91 Thank you for caring Cody, truly."		crying in da club	en			
"I just left your bedroom
Give me some morphine
Is there any more to do?"	Ljubljana	12915	en			
Commander Cody advocates for droid rights		Cloud City	en			
narcos is such a good song			en			
Likes = Opiates		"Atlanta, Georgia"	en			
@WWEGraves The difference is at least Cody is a good wrestler.			en			
*Screaming the suite life of Zack and Cody theme song*			en			
Now playing #SteveEarle - Oxycontin Blues on #RadiOmaha	Central Time (US & Canada)	"Omaha, Nebraska "	en			
@Fat_Aime @C_Falcon8 Aime better bring Cody along. Y'all gone miss out on free housing.		"Hammond, LA"	en			
They gave her some morphine for the pain and kept her on the respirator. The doctor said she most likely wouldn't make it through the night.	Central Time (US & Canada)	"Higginsville, MO"	en			
"@PatcoWatchers Apples are bad, I'll stick to heroin"	Athens	South Jersey	en			
Please make sure to hand in Health History form and Opioid forms by Friday	Hawaii		en			
"JUST LIKE NICOTINE, HEROIN, MORPHINE SUDDENLY I'M A FIEND AND YOU'RE ALL I NEED"	Mid-Atlantic	"Bahia, Brasil"	en			
"@CodyRhodes How are You today, dear Cody? #Rhodes 

xoxo from France"	Paris	"Normandie, France"	en			
@CodyRhodes #Rhodes hi Cody be fan here how does one become a manager of a wrestler ?	Quito	martinsville	en			
Pain-related anxiety and opioid misuse in a racially/ethnically diverse young adult sample with moderate/severe pain - ...	Stockholm		en			
"@bulldoghill @jagne_r @Everytown Over 64,000 die from opioid overdoses, but no one makes a big deal about that."		"Maine, USA"	en			
@CodyRhodes Did wwe change the dashing cody video becuase i flashed the camera in the first one? #Rhodes		"New Hampshire, USA"	en			
@cody_hur Yes cody?	Adelaide	Unknown	en			
@CarmineZozzora @ChristiChat @NRA Ban needles...??? Heroin kills 143 people a day....		Flyover USA.	en			
@harm248 @ABC Sessions says its as bad as heroin LOL.		"St Louis, MO"	en			
@shackleshotgun @MyNameIsByf Morphine can also come in tablets .			en			
"@politico Ha! ""Senate intelligence"" is an Oxycodone!"			en			
@Bourdain Heroin was that your drug?		United States	en			
#Rhodes Who is the best leader of Bullet Club and why is it Cody?	Central Time (US & Canada)	Murfreesboro TN via Jackson MS	en			
@joshkluge @Cody_Jensen Cody and I had a real argument about how much he hated it. I was very personally offended. Haha.	Central Time (US & Canada)	"Manhattan, NY"	en			
Need to get more Tylenol	Central Time (US & Canada)	new warleans	en			
#NAME?	London	"Scarborough, England"	en			
"Forget about being your heroine, I will be your heroin. 😊"	Singapore	United Kingdom	en			
People can put cyanide in bottles besides Tylenol so lets not make the caps harder to get into	Pacific Time (US & Canada)	Alaska and Arizona	en			
@krassenstein He looks like he is struggling from opioid nod off.	Eastern Time (US & Canada)		en			
@CodyRhodes #Rhodes Hey Cody. I'm A Big Fan. What's Your Favorite Hobbies Outside Of Wrestling ?			en			
@CodyRhodes hey Cody!	Eastern Time (US & Canada)	cincinnati ohio	en			
morning yoga with cody and I couldn’t be happier 💛	Pacific Time (US & Canada)	ORD	en			
@rachel_huver You can take Tylenol and sudafed... but not ibuprofen or over a 1000g of vitamin c 😂😂😂	Atlantic Time (Canada)	michigan 	en			
My kids are at risk of getting shot at school. There is heroin dealing everywhere in the burbs. Enjoy the protection.	Pacific Time (US & Canada)	"Chicago, IL"	en			
"“I’m just going to take some Tylenol before this ACT”
*Pours out the entire bottle*"	Pacific Time (US & Canada)	"Being lazy, probably"	en			
a oxy and a blunt would be gr8 rn to sleep and chill but I’m not about that life no more lmao	Quito	ig: aeveaf	en			
Just got dress coded for my American nightmare shirt @CodyRhodes they made me turn it inside out. TEAM CODY.		"Floral City, FL"	en			
"C- start to the day, gonna take some Tylenol pm and try again later"			en			
My Bitmoji is addicted to heroin	Eastern Time (US & Canada)	Paddy’s Irish Pub	en			
"Heroin, Cocaine, and LSD are 3 of the 10 most expensive materials in the entire world."	Kyiv		en			
@JeffreyFudin @mairaajhasan @realtime1954 @CaseyCagle @dbongino @Delta @NRA And what’s your lil president doing about the opioid crisis? 🤔		"Nebraska, USA"	en			
"@CodyRhodes Is Bury the Drug Free Bear an actual bear, or is it Flip (You swore it wasn’t him in Atlanta)? Tell us the truth, Cody. #Rhodes"	Eastern Time (US & Canada)	Everywhere	en			
@TheClemReport 'narcotics parties' is pretty redundant #badboilyfe			en			
@CodyEChambers @EdKrassen @IRdotnet @realDonaldTrump Amen Cody! xo	Pacific Time (US & Canada)		en			
@MotherJones Opiate for the Corporate		"Find a new joy, in New Jersey."	en			
"@MichaelHBF No opioids for me, so it was Panadol after my surgeries #toughcookie"	Sydney	"Townsville, Queensland"	en			
OXY CLEAN!		Austin TX / Chicago IL	en			
@MissLizVicious Oh yea I love O.Ding on Opioids then some idiot Narcan's me back 2 the real world &amp; wants 2 be thanks 😡		In My Fist & up my Bum	en			
@alliemackay I use Fiorinal with codeine.  It works for a while.	Pacific Time (US & Canada)	"Pasadena, California"	en			
I need morphine.		jungkook's heart	en			
@gator_bates @AoDespair Have you tried fentanyl?	Pacific Time (US & Canada)	Hong Kong	en			
@angrysnowflake1 @sam_younes @dan_liva @alwaysDemocrat7 @angelblooded @HurrayChristian @MatManz @FedEx We should also make heroin illegal.	Eastern Time (US & Canada)	United States	en			
"trying phenibut in lieu of benzos today 
should be an interesting experiment"	Pacific Time (US & Canada)	And I'm much obliged to you for making it clear that I'm not here...	en			
@DRUDGE_REPORT Did they hold him down and make him take OxyContin?		Not Russia	en			
@Torieeeeee_ You can rotate Motrin in that always works better than Tylenol imo. You can always do both. I hope he feels better soon mama!	Central Time (US & Canada)	"Oklahoma, USA"	en			
@jaycohenmgmt @Cody Just realised it's not a @Madonna cover. 😂😂😂		"Queensland, Australia"	en			
"@HealthRanger Also dangerous: kratom and cannibas...which people are using INSTEAD of addictive opiates.
FDA is working to ban kratom now."	Eastern Time (US & Canada)	"Pennsylvania, USA"	en			
marijuana hydro pussy ho ass titties	Beijing	DLSU	en			
HOLY FUCK  note to self: you CAN'T take CODINE .... major step backwards.	London	London England	en			
@DRUDGE_REPORT OxyContin-level pain after surgery rarely lasts for an entire month. Why do physicians prescribe an entire 30days’ worth?		Shining City on a Hill	en			
"Sometimes I tag Cody in my selfies, one to make sure he doesn’t miss it and two bc sometimes people are weird 😂🤷🏻‍♀️"		"Cincinnati, OH"	en			
At least she is resting comfortably now. When things get bad again just morphine for the pain to make her comfortable until its over.	Central Time (US & Canada)	"Higginsville, MO"	en			
@hallmarkchannel @LoriLoughlin Cody is absolutely right! and he was just awesome!! #Hearties		"Montgomery, AL"	en			
"After watching Narcos last night, I had the wildest dream that I was working for him 🤢"	America/New_York	Ga	en			
@whistler_jones @WWEGraves Lolol since Cody is one of the top performers for njpw and roh not sure why but ok	America/New_York	"Raleigh, NC"	en			
¿where there is some fucking heroin in this town¿			en			
"@realTanyaTay If banning guns will end gun violence, why don't we ban heroin? Oh wait..."	Quito		en			
"Return Of 4eva
Friday Night Lights 
Dedication 2
Kush &amp; OJ
Codeine Cowboy

I just need to figure out the order 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️"	Eastern Time (US & Canada)	"Atlanta, GA"	en			
@ScaramucciPost @Scaramucci Press Gainey reimburses physicians for passing out narcotic prescriptions	Central Time (US & Canada)	"Myrtle Beach, SC"	en			
cody comes in from night shift and everRRrrRrry time he steals my covers.	Central Time (US & Canada)		en			
Can’t decide which one between March Madness and Codeine Crazy is the better R&amp;B song.		"Bloemfontein, South Africa"	en			
"Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need"			en			
"In the mid-90s, dressing like a heroin addict was in high fashion. The look was referred to as ""heroin chic."""	Pacific Time (US & Canada)	"Cali, Colombia"	en			
@S_2Ch ghana is a major hub for narcotics	Pacific Time (US & Canada)	"Accra, Ghana"	en			
They call me the codeine spleen		england	en			
@sevenbowie @MSNBC Isn't cocaine heroin meth all that stuff illegal just asking?		anywhere but a city	en			
"Waking up at 5:29am, what am I, running a methadone clinic?"	Central Time (US & Canada)	New Black Aesthetic KC NY	en			
She Said I'm A Headache: But she just gonna take some Tylenol... 😁😁🤣		"Lincoln, NE"	en			
"just like nicotinE, heroinE, morphinE."			en			
"Oh dear God. Just give me liquor and opioids. One drop this, 3 drops that. Put this under your arm. Stop it.  #WhatILearnedToday"	Central Time (US & Canada)	"DuPont, WA"	en			
"@SarahBurris Well, she has plenty of time to do that now that she has solved the opioid crisis."	Eastern Time (US & Canada)	USA	en			
"What a weekend WM weekend will be, hyped for Cody v Omega!"		"England, United Kingdom"	en			
"@ewitsbrittney YOU ARENT HUN. Cody is OBSESSED and I just don’t get it. I like it every now and again, but he wants it like every week"			en			
"order painkillers, xanax, hydrocodone text dr terrence 415-691-7039 or email medicationfreedom@gmail.com"		"Cary, NC"	en			
"Man, if y’all would’ve just let Pablo's lunatic drugdealer ass run for Congress 🤦🏾‍♀️ #narcos"	Brussels	The Low Countries of Europe	en			
@realLarrySky @realDonaldTrump @FoxNews Take some opiates like the rest of the libtards who can't handle life	Central Time (US & Canada)		en			
If Future Put Codeine crazy on a mixtape 13 times that woulda been the best tape ever lol	Eastern Time (US & Canada)	"Atlanta, GA"	en			
"@BBC6Music Rolling Stones -- Sticky Fingers:

Sister Morphine
Dead Flowers
Moonlight Mile"	Eastern Time (US & Canada)	Blue State	en			
! RT @BigJusLaFlare: If Future Put Codeine crazy on a mixtape 13 times that woulda been the best tape ever lol	Quito		en			
Codeine lucid dreams bitch I bleed lean	Pacific Time (US & Canada)	In heaven voolin wit jesus🙏🏾	en			
Xan and heroin addicts on Facebook getting mad at me cuz I don't sympathize their stupid decisions.	Eastern Time (US & Canada)	Hell	en			
@ScottJenningsKY Scott is absolutely right to call false on this Cody. You forgot to mention Eric.	Pacific Time (US & Canada)	"Chicago, IL"	en			
@daisy666_ grinde fast nur /r/benzodiazepines und /r/opiates tbh	Pacific Time (US & Canada)	idk. benzos	en			
Snowy outside..  Cody won't settle unless he is on someone so I'm playing mattress	London	"Cove, Hampshire UK"	en			
@CodyRhodes #Rhodes  what about kenny omega vs cody as main event #ALLIN			en			
"I WAS SHOOTIN UP BITCH I AINT TALKIN WIDDA GUN, HEROIN ADDICT IN YOUR PRESENCE YA I DO IT JUST FOR FUNNNNNNN"	Central Time (US & Canada)	"Kenosha, WI"	en			
@superkickofdoom @CodyRhodes Bro you literally just said Cody sucks 😂 Get out of here.			en			
@Chris_1791 @phillydotcom Try weed ! I know a lot of people who got off opioids using weed including me .	Pacific Time (US & Canada)	"Bellevue, WA"	en			
"@CodyRhodes #Rhodes Apart from the Team Cody shirt, will there be a new design for your shirt like @theAdamPage"		"North Carolina, USA"	en			
@brandycooklyn It is and how much i like it is why I think im finally certain I can't be that person who does heroin once			en			
@JudithDahmen @RangerCommandPH The Beast Morpher Rangers should make a cameo in Shattered Grid since they are defending the Morphin Grid.			en			
@Cody_Hall1 Cody @Cody_Hall1  When are you coming to WWE	Pacific Time (US & Canada)	"Kentucky, USA"	en			
Is there a difference between Codeine and Lean??		Limpopo	en			
@CodyRhodes Have a great day cody		"New Jersey, USA"	en			
codeine crazy	Paris		en			
@CodyRhodes There is only one correct answer to this question. Cody nails it again.		"Richmond, VA"	en			
I went to go see Cody Johnson last year and I neeeeeeed to go this year too.	Eastern Time (US & Canada)	HTX	en			
@cspanwj Russia Mueller Daca come on what about the Opioid crisis Pension crisis Infrastructure? America issues please!!	Atlantic Time (Canada)	ky	en			
@deanapriv Get oxi clean to get the tough stains out 😳		im not the guy in my avi	en			
"BLOOMINGTON YOUTH OUT HERE ON HEROIN!!! WHAT IS HAPPENING
this is sad and unexpected..I guess people stuck with their death wishes"	Eastern Time (US & Canada)		en			
"@dpreston2020 @fmtalk1065 @daltonorwig @CassieFambro Yes, yes, I know cocaine isn't an opiate, but the Marx quote still seemed apropos."			en			
@_monstrosophia LMAO YES PIA I GUESS WATCHING NARCOS DOES HELP YOUR SPANISH IM PROUD	Beijing	uk/ph	en			
@iowahawkblog MORPHIN' TIME!	Pacific Time (US & Canada)	"It is an American state called ""NEW Mexico"". "	en			
"I am sorry and feeling ashamed because ZEE news broadcasted against my heroin shree THE ROOP KI RANI
Sorry again dear please forgive us"		"झारखंड, भारत"	en			
@xZmDa I love Cody	Eastern Time (US & Canada)	New York	en			
[10:56] The Roots Feat Cody Chesnutt - The Seed	Brasilia	"São Paulo, Brasil"	en			
"With my best friend, 7-11, we go legend, we go legend
Codeine legend, microphone legend, we go legend"	Pacific Time (US & Canada)	From the jungle 	en			
Please i want morphine to be happy			en			
"I'm so freaking happy Cody shaved his mustache, like damn I forgot how good he looks 😂🤗"	Atlantic Time (Canada)	"Sabina, OH"	en			
Takeoff verse on Narcos &gt;&gt;&gt;&gt;	Quito		en			
"Poisoning by other narcotics, assault, subsequent encounter"			en			
@agela619 Tylenol	Atlantic Time (Canada)	"Oslo, Norway"	en			
Apparently the Robitussin I took 11 hours ago has not worn off yet because I am still existing on a different spectral plane.			en			
"I am now equipped with antibiotics, codeine, and pudding cups."	London	London	en			
i am on a codine diet		"Lagos,Nigeria"	en			
"@JasonIsbell Sister Morphine  
Dead Flowers
Moonlight Mile"			en			
"Canadian cities using most renewable energy: Vancouver 98%, Winnipeg 100% and Montreal 97%. All done with hydro. Ahhh the great White North!"			en			
What do normal people do when they get this sad? They reach out to friends or family. I do morphine. - Mr Robot		Malaysia	en			
"@cohdyallen We're so glad you loved Frozen Ever After, Cody!"	Eastern Time (US & Canada)	"Lake Buena Vista, FL"	en			
Speakers setting the tone for honestly discussing opioid addiction and its impact.	Eastern Time (US & Canada)	"Durham, NC"	en			
@polNewsRevenge Funny I know some blacks who have OD and died from heroin	Atlantic Time (Canada)	Ocho-Cero-Dos	en			
UK National Grid: #Large #Hydro is currently generating 0.18GW (0.37%) out of a total of 48.70GW		unit	en			
@DontStandIdlyBy @TheToroCompany @ToyotaMotorCorp @tylenol Or Big Tobacco.		United States	en			
Let’s take a Percocet test I probably fail that bitch!		Miami 	en			
Will the budget include public health funding for the opioid crisis? #budget2018 #cdnpoli	Eastern Time (US & Canada)	"toronto, canada"	en			
@iAmTheWarax Someone will take this as a challenge. Those Oxy fueled hillbillies aren't the only tactical people in America.	Central Time (US & Canada)	"Texas, USA"	en			
@CodyWolfeMusic Thanks for the morning inspiration Cody !  have a great day ! 😀👍	Central Time (US & Canada)		en			
@rohithr580 I understand. Im just amaze of the token. Would you give me some or atleast any amount of hydro? Thank you master		"cebu city, philippines"	en			
General Kenobi.General Skywalker. Cody! How goes the inspections? Tracking station a--Good. Report back once you've arrived.Copy that.			en			
Not a Kodak fan but hard to deny Codeine Dreaming	Atlantic Time (Canada)	" Thunder Bay Area, MI"	en			
"@iShupe_ Thanks for reaching out to our Twitter page, Cody! Our premier rooms are our newly renovated rooms."	Eastern Time (US & Canada)	2701 South Ocean Blvd. 	en			
Religion is the opiate of the masses  #Marxism #firstdayofspring			en			
@smidgie_k I don't know much about fentanyl but the patch came off yesterday and this morning she's not quite as bright eyed or happy.	Pacific Time (US & Canada)	"2/3-a/b, 4 season Manitoba"	en			
"dragging today , hopefully this tylenol works ."		"Fayetteville, NC"	en			
You know the pain is bad when a morphine drip gives you zero relief. I just want it to go away. I just want to go home!!	Central Time (US & Canada)		en			
@coasttocoastam The opioid crisis has reached biblical proportions. The best pope ever.		29°N east coast 	en			
@coasttocoastam The opioid crisis has reached biblical proportions. The best pope ever.		29°N east coast 	en			
@Trumpism_45 @realDonaldTrump @FoxNews Meme much?  You need to get off those opioids. They are making you delusional.			en	opioids	delusional	ADR
"Chronic use of certain sedative-hypnotic drugs, especially the benzodiazepines, may cause #irritablebowel-like symptoms."	Bucharest	London	en			
You know the pain is bad when a morphine drip gives you zero relief.	Central Time (US & Canada)		en			
@MicFlair Might as well mix it with some heroin to mellow out the rush. That's what Jesse Pinkman would do	Eastern Time (US & Canada)	"Elm Creek, NE T"	en			
heroin chic is a timeless look			en			
"@DaftLimmy Hi Jacqueline, u still off the heroin?"	Pacific Time (US & Canada)		en			
@CodyRhodes @LC_dub Dusty was referring to his father (Cody's Grandpa)			en			
No suite life of zack and cody memes.			en			
"@bl4ck0ut2022 We have 30,000 people die a year of heroin overdose 
500 By rifle
Over 600 By Knives 
What problem?"		 Out Of This World	en			
@polNewsRevenge @getongab I had a dream we could all end up in the same methadone clinic together #wearetheworld	Central Time (US & Canada)		en			
"AG @jeffsessions says his office ""will be looking at doctors"" who overprescribe opioids as part of its solution to the crisis."	America/New_York	"Washington, D.C."	en			
@Kathleen_Wynne @Empire_Club There working 2 jobs to pay their hydro bill you lying bitch!		"Ontario,Canada"	en			
@IrishSQL @BornSQL Just go straight to heroin.	Eastern Time (US & Canada)	"Malvern, Pennsylvania, USA"	en			
"jo is angry, but cody is angry-er"			en			
@rachie11125 @mcmullenforus Especially in reguards to this “opioid crisis”			en			
cody’s not happy looking down on how y’all chose to live your life’s without him 😔	Atlantic Time (Canada)	sleeping	en			
Narcos is amazing la		Singapore	en			
♫ Cody ChesnuTT - That's Still Mama (4:13) #detektorfm #np	Amsterdam		en			
I've obviously upset the natural balance in the life of Cody: chunks of my kidney will be removed via a needle through my back ✌			en			
@DatOneCuh I've been drinking codeine all night		Deep East Texas 	en			
@PigsAndPlans Codeine crazy- Future	Central Time (US & Canada)		en			
@CodyRhodes Clear and to the point.  Cody is awesome.		"North Carolina, USA"	en			
@Hoticecream__ 😂😂😂 On a codeine diet na... Yunno!	Central Time (US & Canada)	204	en			
"Steve Mange, NC Dept of Justice shared the state perspective on opioid abuse with attendees."	Eastern Time (US & Canada)	"Durham, NC"	en			
@CBCNews How about meds like morphine or ocycontin?			en			
Any writing out there on infantilism as an opiate?	Georgetown	"Bristol, Earth"	en			
"codeine kill my kidneys, eatin up my ribs"		14 / 69 / 29 / 39 / 600	en			
Took two tramadol while I was in traffic on 695. I don't think it's working because when I got out my truck my back was hurting.	America/New_York	Not Baltimore… Thank God. 	en			
Chinese heroin-growing gang sexually blackmails  drug-addicted youth via email service.			en			
@EdKrassen Of course. Such wasted money. Tylenol can cure all these ailments			en			
If methadone is free for addicts because they have a disease... why is chemo not free for cancer patients?	Hawaii		en			
"She surviving on hydrocodone, prednisone, and sheer force of will"	Central Time (US & Canada)	ok	en			
I already took Tylenol huhu I hope it takes effect immediately. My headache weakens my entire body 😭	Beijing	Dreaming of U at 1:27AM 💓	en	tylenol	headache	ADR
@CodyPurish1 Thank you Cody	Central Time (US & Canada)	"Nashville, TN"	en			
@cnnbrk @realDonaldTrump China has NO opiate crisis b/c they are mailing them all to US. #OpiateExodUS	Atlantic Time (Canada)	"Raleigh, NC"	en			
"Blurring all the lines, you intoxicate me
Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need, all I need"	Pacific Time (US & Canada)	"Guarujá, Brasil"	en			
I forgot how good narcos is! Omg			en			
"TMD treatment includes provision of occlusal splints, psychosocial interventions, and medications like analgesics (pain killers)."	Kyiv	United States	en			
SO READY FOR SOME CODY JOHNSON AND SOME BULL RIDING😛 #CowboyButtsDriveMeNuts			en			
@SCHOENAMYYY Do a why I did heroin hashtag		"New Jersey, USA"	en			
Cody Johnson concert. Bull riding. Rhinos Hockey. Overall great weekend with great people!	Pacific Time (US & Canada)	"El Paso, Tx"	en			
Cody is my baby 💓		"Lincoln, NE"	en			
