	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36
901	199311	C0011570	Mental Depression	C3843398	15-19	C0011570	Mental Depression	C0086045	Mental concentration	C0150312	Present	C0150312	Present																																																												
902	198860	C3843766	<50	C3843766	<50	C2825142	Experimental Result																																																																		
903	197229	C0220929	Mental tolerance	C0020672	Hypothermia, natural	C0220929	Mental tolerance	C0020672	Hypothermia, natural	C0150312	Present	C0220929	Mental tolerance	C0220929	Mental tolerance	C3842675	Day 3	C0220929	Mental tolerance	C0020672	Hypothermia, natural	C3844638	Either	C0220929	Mental tolerance	C0220929	Mental tolerance	C0546816	Persistence	C0012632	Discrimination (process of differentiation)																																										
904	22847	C0221198	Lesion	C0162703	Pain Threshold	C0221198	Lesion	C0221198	Lesion	C0039869	Thinking, function	C0221198	Lesion	C0162703	Pain Threshold	C0235169	Excitability	C0281856	Generalized aches and pains	C0235169	Excitability	C0221198	Lesion	C0344307	Absence of pain sensation																																																
905	20914	C0450407	ph+	C0086045	Mental concentration	C0429783	Urinary flow rate	C0429783	Urinary flow rate																																																																
906	19620	C0233660	Mental blocking	C0344315	Depressed mood	C1140999	Contraction (finding)	C0332219	Easy																																																																
907	410062	C0546816	Persistence	C0085281	Addictive Behavior	C0085281	Addictive Behavior																																																																		
908	410055	C0013658	Educational Status	C0439857	Dependence	C0026552	Morphine Dependence	C0239882	Head tremor	C0239882	Head tremor	C0439857	Dependence	C0239882	Head tremor	C0694536	Drug seeking behavior																																																								
909	198838	C0220929	Mental tolerance	C1320408	Urinary elimination status	C0001721	Affect (mental function)	C1320408	Urinary elimination status	C3641827	Agree	C0220929	Mental tolerance																																																												
910	408653	C0332219	Easy	C0030193	Pain	C0391976	Pain Disorder	C0033213	Problem	C1273517	Used by	C0087169	Withdrawal Symptoms	C0521874	Victim of neglect (finding)	C0541749	Does turn (finding)	C0391976	Pain Disorder																																																						
911	19804	C3842675	Day 3	C4297007	Decrease dose	C0442797	Decreasing	C0442797	Decreasing	C0562476	Self-stimulative behavior																																																														
912	893217	C0041755	Adverse reaction to drug	C0041755	Adverse reaction to drug	C1546956	Patient Outcome - Died	C0041755	Adverse reaction to drug	C0041755	Adverse reaction to drug	C0004448	Awareness	C0562342	Empowered	C4055506	Accumulation																																																								
913	20682	C1273517	Used by	C1704300	Induced abortion (finding)	C0019080	Hemorrhage	C0150312	Present	C2825142	Experimental Result																																																														
914	924699	C0013146	Drug abuse	C0013146	Drug abuse	C0009450	Communicable Diseases	C0013146	Drug abuse	C0039869	Thinking, function	C0543488	Interested	C1306597	Psychiatric problem	C0870124	alienation	C0679199	strategy	C0038435	Stress	C0085281	Addictive Behavior																																																		
915	924698	C0236807	Amphetamine Abuse	C4281574	Much	C0085762	Alcohol abuse	C0457801	Current non-drinker of alcohol	C0150312	Present																																																														
916	924696	C0013146	Drug abuse	C0849867	Widespread Disease	C0031208	Personality	C0031212	Personality Disorders	C0425152	Engaged to be married	C0600241	heroin abuse	C3843708	29+	C0233523	Antisocial behavior	C0600241	heroin abuse	C0425152	Engaged to be married	C0150312	Present	C0150312	Present	C0150312	Present	C0600241	heroin abuse	C0233523	Antisocial behavior	C2919119	Encounter due to antisocial behavior																																								
917	921310	C0039869	Thinking, function	C0870444	doubt	C0011570	Mental Depression																																																																		
918	918136	C3838679	4+ Answer to question	C0278180	Drugged state	C0423896	Feeling content	C0037036	Sialorrhea	C3838679	4+ Answer to question	C0037036	Sialorrhea	C3843766	<50	C2825142	Experimental Result																																																								
919	902164	C4297006	Increase dose	C0429986	Dependent for bathing	C0018790	Cardiac Arrest	C0332128	Examined	C0683954	research results																																																														
920	897348	C0040028	Thrombocythemia, Essential																																																																						
921	894682	C0850310	Possessed																																																																						
922	894676																																																																								
923	891601	C0234235	Tissue sensitivity	C0150312	Present	C0234235	Tissue sensitivity	C3842090	1 mm	C2825142	Experimental Result																																																														
924	889548	C0004135	Ataxia Telangiectasia																																																																						
925	887979	C0038661	Suicide	C1705232	Death Related to Adverse Event	C0014518	Toxic Epidermal Necrolysis	C0004448	Awareness	C0600688	Toxic effect																																																														
926	886473	C0814161	impaired motor coordination	C0558058	Reflecting	C0030971	Perception	C1962977	Pain NOS Adverse Event	C0948482	analgesic effect	C0344307	Absence of pain sensation																																																												
927	886472																																																																								
928	884987	C0034063	Pulmonary Edema	C0572066	Overdose of codeine	C0579142	Overdose of opiate	C0034063	Pulmonary Edema	C0572066	Overdose of codeine	C0034063	Pulmonary Edema																																																												
929	594119	C0332128	Examined	C0001916	Albinism	C2825142	Experimental Result	C1444656	Indicated	C0162703	Pain Threshold																																																														
930	562648	C0332128	Examined																																																																						
931	562647	C0235169	Excitability	C0220929	Mental tolerance	C0439857	Dependence	C0220929	Mental tolerance	C1332133	Abstinence Syndrome	C2825142	Experimental Result																																																												
932	560969	C4055506	Accumulation	C0150312	Present	C2825142	Experimental Result																																																																		
933	409449	C0038272	Stereotyping	C0011581	Depressive disorder	C0442739	No status change	C0428977	Bradycardia	C1272641	Systemic arterial pressure	C0234421	Conscious	C3838679	4+ Answer to question	C1720436	Under anesthesia	C3845593	Major change	C3280889	Reduced consciousness	C0235063	Respiratory Depression	C0010200	Coughing	C1287298	Urine volume finding																																														
934	407071	C0001721	Affect (mental function)	C2825142	Experimental Result																																																																				
935	336941	C0162703	Pain Threshold	C2825032	Withdrawal (dysfunction)	C0030971	Perception	C1962977	Pain NOS Adverse Event	C0162703	Pain Threshold	C1962977	Pain NOS Adverse Event	C1444775	Sharp sensation quality	C0439821	Pricking sensation quality	C0162703	Pain Threshold	C3843766	<50	C3843766	<50	C0344307	Absence of pain sensation	C1273517	Used by	C0162703	Pain Threshold	C1273517	Used by																																										
936	336553	C0019337	Heroin Dependence	C1306597	Psychiatric problem	C0427149	Gait, Drop Foot																																																																		
937	269396	C0027819	Neuroblastoma	C0017638	Glioma	C0429986	Dependent for bathing	C2825142	Experimental Result	C0429986	Dependent for bathing	C0184517	Activity alteration																																																												
938	198792	C0517907	muscle movement	C0233660	Mental blocking	C0442797	Decreasing	C0442797	Decreasing	C0920474	drug mechanism	C0442797	Decreasing																																																												
939	197237	C0150312	Present	C0344307	Absence of pain sensation	C0150312	Present	C3844638	Either																																																																
940	21420	C1709157	Negative Surgical Margin	C0011570	Mental Depression	C0011570	Mental Depression	C2825142	Experimental Result	C1444656	Indicated																																																														
941	19827	C0332128	Examined	C0004268	Attention	C3843766	<50																																																																		
942	19507	C0030201	Pain, Postoperative	C0011109	Decision Making	C1444656	Indicated																																																																		
943	19506	C0150055	Chronic pain	C0030201	Pain, Postoperative	C1299586	Has difficulty doing (qualifier value)	C0011109	Decision Making	C4296983	Expedite																																																														
944	331052	C3843766	<50																																																																						
945	884446	C3844638	Either	C0860711	carbon dioxide low	C0233494	Tension	C4068542	Alveolar ventilation	C0013170	Drug habituation																																																														
946	328108	C3844638	Either	C4068542	Alveolar ventilation	C4068542	Alveolar ventilation	C1273937	Not significant																																																																
947	20004	C3843766	<50	C3843766	<50	C3843766	<50	C2825142	Experimental Result	C0879626	Adverse effects	C2825142	Experimental Result																																																												
948	408842	C0035397	Rewards	C0012633	Discrimination Learning	C0017326	Generalization, Stimulus	C3844638	Either	C3843766	<50	C4321237	High Level	C0234413	Discrimination disorder	C0012632	Discrimination (process of differentiation)	C0600688	Toxic effect																																																						
949	198160	C0012725	Psychologic Displacement	C4281574	Much																																																																				
950	142996	C0012632	Discrimination (process of differentiation)	C0150312	Present	C0557351	Employed	C2984079	Somewhat	C0012632	Discrimination (process of differentiation)	C0150312	Present	C3842633	At work	C0040028	Thrombocythemia, Essential	C0678356	alcohol effect	C0677607	Hashimoto Disease																																																				
951	19802	C0150312	Present	C0948482	analgesic effect	C0948482	analgesic effect	C0231750	Apley compression test response	C0162703	Pain Threshold																																																														
952	578335	C0235957	myonecrosis	C1334928	Necrotic changes (finding)	C0449416	Source																																																																		
953	69441	C4281574	Much																																																																						
954	924269	C0332128	Examined	C2825142	Experimental Result																																																																				
955	921396	C0418416	Pinched	C0418416	Pinched	C0418416	Pinched	C2825142	Experimental Result	C0520962	Localized pain																																																														
956	918649	C0012634	Disease	C1962977	Pain NOS Adverse Event	C4281574	Much	C0030193	Pain	C1273517	Used by	C1720436	Under anesthesia	C4281574	Much	C0023185	Learning	C0033213	Problem																																																						
957	916137	C3843766	<50	C3843766	<50																																																																				
958	912441	C0344315	Depressed mood	C1709157	Negative Surgical Margin																																																																				
959	895146	C0033213	Problem	C0262512	History of present illness	C0556338	Drinker	C0240602	opioid use	C0525045	Mood Disorders																																																														
960	890559	C4305327	Minimal depression	C0234422	Awake																																																																				
961	890207	C4055506	Accumulation	C0001721	Affect (mental function)	C4055506	Accumulation	C0086045	Mental concentration	C4055506	Accumulation	C3838679	4+ Answer to question	C4055506	Accumulation	C4055506	Accumulation	C4055506	Accumulation	C2825142	Experimental Result																																																				
962	889069	C0235063	Respiratory Depression	C0442804	Very high	C0428679	Minute volume	C2825142	Experimental Result	C0750484	Confirmation																																																														
963	889068	C0518014	Hematocrit level	C1321771	Central venous pressure finding	C0012634	Disease	C0029408	Degenerative polyarthritis	C0029410	Osteoarthritis of hip	C0012634	Disease	C1963185	Obesity Adverse Event	C0020538	Hypertensive disease	C0028754	Obesity	C0857121	Hypertensive (finding)	C0518014	Hematocrit level	C0857121	Hypertensive (finding)	C0428886	Mean blood pressure	C0857121	Hypertensive (finding)	C1321771	Central venous pressure finding	C1321771	Central venous pressure finding	C0518014	Hematocrit level	C0150312	Present	C1321771	Central venous pressure finding	C0857121	Hypertensive (finding)																																
964	889067	C0429306	Burst suppression	C0442797	Decreasing	C0014518	Toxic Epidermal Necrolysis																																																																		
965	886447																																																																								
966	886444																																																																								
967	886442	C0033213	Problem	C0033213	Problem	C1273517	Used by																																																																		
968	885069	C0033213	Problem	C0418624	Nonadministration of necessary drug or medicine	C0418624	Nonadministration of necessary drug or medicine	C0418624	Nonadministration of necessary drug or medicine	C1527402	Narcotic Dependence	C0085281	Addictive Behavior	C0085281	Addictive Behavior	C1833334	Early-onset	C0085281	Addictive Behavior	C0085281	Addictive Behavior																																																				
969	879977	C0700327	Memory observations	C0150312	Present	C0025260	Memory	C0700327	Memory observations																																																																
970	879616	C0701159	Patient in hospital	C0009566	Complication	C1457887	Symptoms	C0424755	Fever symptoms (finding)	C0231528	Myalgia	C0031037	Periarthritis	C0004623	Bacterial Infections	C0019159	Hepatitis A	C0231443	Musculoskeletal symptom	C0240807	PROGRESSIVE SYMPTOMS	C1444662	Discontinued	C2826210	Complete Recovery	C0001721	Affect (mental function)	C0039082	Syndrome	C0699748	Pathogenesis	C0039082	Syndrome	C0445223	Related personal status																																						
971	876907	C0680145	presence of food																																																																						
972	874814	C2825142	Experimental Result																																																																						
973	869245	C0234422	Awake	C0086045	Mental concentration	C0150312	Present																																																																		
974	867056	C1272708	Outcome of action	C0234422	Awake	C0344307	Absence of pain sensation	C1955473	Others - Allergy	C0344307	Absence of pain sensation	C0014544	Epilepsy	C0600138	Does play																																																										
975	617989	C3843708	29+	C0700285	Drug addict	C0150312	Present	C0150312	Present	C1273517	Used by	C0150312	Present	C0086045	Mental concentration	C1550043	Container status - Identified																																																								
976	578470	C3843504	1 - 3	C0010200	Coughing	C0449381	Observation parameter	C0948482	analgesic effect	C0235063	Respiratory Depression	C3838679	4+ Answer to question																																																												
977	578468	C1720436	Under anesthesia	C0037763	Spasm																																																																				
978	561963	C0080194	Muscle strain	C2825032	Withdrawal (dysfunction)	C2825142	Experimental Result	C0150312	Present	C0235146	Euphoric mood																																																														
979	561520	C0026552	Morphine Dependence	C0220929	Mental tolerance	C0278080	Physical addiction	C0220929	Mental tolerance	C0278080	Physical addiction	C1291163	Increased histidine	C0026552	Morphine Dependence																																																										
980	561519	C0220929	Mental tolerance	C0424661	Percentage weight loss	C0220929	Mental tolerance	C0220929	Mental tolerance	C0278080	Physical addiction																																																														
981	560305	C0220929	Mental tolerance	C0278080	Physical addiction	C0026552	Morphine Dependence	C3838679	4+ Answer to question	C0220929	Mental tolerance	C0344307	Absence of pain sensation	C0439857	Dependence	C0038272	Stereotyping	C2825032	Withdrawal (dysfunction)	C2911645	Weight Loss Adverse Event	C0020672	Hypothermia, natural	C2825032	Withdrawal (dysfunction)	C0220929	Mental tolerance	C0439857	Dependence	C3842675	Day 3	C0220929	Mental tolerance	C0278080	Physical addiction																																						
982	560293	C3843397	20-24	C0026552	Morphine Dependence																																																																				
983	327854	C3843766	<50	C3843766	<50	C0233485	apprehension	C0522165	Feeling calm	C0013144	Drowsiness	C0559546	Adverse reactions	C0027497	Nausea	C0042963	Vomiting																																																								
984	327853	C0948482	analgesic effect	C1962977	Pain NOS Adverse Event	C0030201	Pain, Postoperative	C0040460	Toothache	C1291732	Treatment pain	C1832110	HORNS IN SHEEP	C1832110	HORNS IN SHEEP	C3838679	4+ Answer to question	C1832110	HORNS IN SHEEP	C0582148	Pain score	C1832110	HORNS IN SHEEP	C1832110	HORNS IN SHEEP	C1832110	HORNS IN SHEEP																																														
985	267605	C1962977	Pain NOS Adverse Event	C0596545	Experience	C0596545	Experience	C0162340	Comprehension	C0849912	Emotional	C1291732	Treatment pain	C0542538	Observation of Sensation	C2584311	Directing attention	C0162340	Comprehension	C0033213	Problem	C0240320	medication use	C1518681	Outcome of Therapy	C1962977	Pain NOS Adverse Event	C1291732	Treatment pain	C0162340	Comprehension	C1962977	Pain NOS Adverse Event	C0038435	Stress	C1962977	Pain NOS Adverse Event	C0677661	Emotional upset																																		
986	244313	C0517980	Urinary Excretion pattern	C1273517	Used by	C2825142	Experimental Result	C0085281	Addictive Behavior	C1510472	Drug Dependence																																																														
987	197530																																																																								
988	196518	C3806171	Periods of apnea	C3838679	4+ Answer to question	C4033634	Blood Indices	C0474396	Sleep behavior finding	C0750484	Confirmation	C1272641	Systemic arterial pressure	C0043012	Wakefulness	C1321329	Slowed saccades	C0013144	Drowsiness	C1457887	Symptoms	C0311392	Physical findings	C0879626	Adverse effects																																																
989	142536	C3843766	<50	C0489749	Rectal temperature	C0020672	Hypothermia, natural	C1273517	Used by	C0020672	Hypothermia, natural	C0020672	Hypothermia, natural	C0085639	Falls	C0015967	Fever	C0015967	Fever	C0020672	Hypothermia, natural	C1301797	Induced hypothermia (finding)																																																		
990	70327	C0442726	Detected (finding)	C0854059	acid urine	C0026552	Morphine Dependence	C0442726	Detected (finding)	C0600138	Does play																																																														
991	19211	C4321237	High Level	C0015663	Fasting																																																																				
992	18128	C0278140	Severe pain	C0001314	Acute Disease	C0027627	Neoplasm Metastasis	C0564405	Feeling relief	C0150055	Chronic pain	C0013220	Drug Tolerance	C0085281	Addictive Behavior	C0150055	Chronic pain	C1513916	Negative Finding	C0009566	Complication	C3842553	Can Do With Much Difficulty	C1962977	Pain NOS Adverse Event	C0871633	desire	C1962977	Pain NOS Adverse Event	C0150312	Present																																										
993	17753	C0278080	Physical addiction	C1332133	Abstinence Syndrome	C0278080	Physical addiction																																																																		
994	17500	C0184512	Stabilized (qualifier value)	C0150312	Present																																																																				
995	194658	C0150312	Present	C1962977	Pain NOS Adverse Event	C0004083	Mental association																																																																		
996	881449	C0001546	Adjustment Disorders																																																																						
997	325238	C3843766	<50	C1273937	Not significant	C0559546	Adverse reactions	C0879626	Adverse effects																																																																
998	577682	C0086045	Mental concentration	C0086045	Mental concentration	C0086045	Mental concentration	C3151529	Lethal	C2825142	Experimental Result																																																														
999	195559	C0150312	Present																																																																						
1000	891738	C1332555	Biphasic Pattern	C0853206	alcohol interaction																																																																				
1001	880978	C2911647	Weight Gain Adverse Event	C2911647	Weight Gain Adverse Event	C3838679	4+ Answer to question	C0018790	Cardiac Arrest	C2911647	Weight Gain Adverse Event																																																														
1002	194655	C2825142	Experimental Result	C0220929	Mental tolerance	C0344307	Absence of pain sensation																																																																		
1003	195217	C0011570	Mental Depression	C1140999	Contraction (finding)																																																																				
1004	196306	C4304523	Withdrawal sign	C0038587	Substance Withdrawal Syndrome	C4304523	Withdrawal sign	C2674459	Limited Walking Ability	C0278080	Physical addiction	C4304523	Withdrawal sign																																																												
1005	18752	C0948482	analgesic effect	C0418416	Pinched	C0026552	Morphine Dependence	C0087169	Withdrawal Symptoms	C0150312	Present	C2825142	Experimental Result																																																												
1006	917972	C0035305	Retinal Detachment	C1271104	Blood pressure finding	C1963179	Nausea Adverse Event	C1963281	Vomiting Adverse Event	C0205160	Negative	C0085639	Falls	C0235063	Respiratory Depression	C1319226	Level of depression	C0683278	Mental Suffering	C1963179	Nausea Adverse Event	C1963281	Vomiting Adverse Event																																																		
1007	884297																																																																								
1008	883613	C0562342	Empowered	C0235195	Sedated state	C0344307	Absence of pain sensation	C0277577	Psychic disease	C0038435	Stress	C0425442	Respiratory System Finding	C0543488	Interested	C1273517	Used by	C2985294	Fourth Stage of Labor																																																						
1009	881055	C0600138	Does play																																																																						
1010	879466	C1279889	Deterioration of status	C3844638	Either	C0344307	Absence of pain sensation																																																																		
1011	878839	C4055506	Accumulation	C0080194	Muscle strain	C0086439	Hypokinesia	C0080194	Muscle strain	C4055506	Accumulation	C4055506	Accumulation	C0080194	Muscle strain	C4281574	Much	C4055506	Accumulation	C4055506	Accumulation																																																				
1012	877628	C0000731	Abdomen distended	C1962977	Pain NOS Adverse Event	C0025160	Megacolon	C0039869	Thinking, function	C1285497	Entrapment (morphologic abnormality)	C1317600	patient symptoms	C0940500	normal colon																																																										
1013	877411	C0150312	Present	C2825142	Experimental Result	C1527402	Narcotic Dependence	C3844638	Either																																																																
1014	877377	C0429627	Oxygen uptake	C0429627	Oxygen uptake	C0086045	Mental concentration	C0450407	ph+	C0429627	Oxygen uptake																																																														
1015	874803	C3844638	Either																																																																						
1016	874779	C0680844	estimation <subjective>	C0086045	Mental concentration	C1273517	Used by	C0150312	Present	C1513916	Negative Finding																																																														
1017	872883	C0086045	Mental concentration	C0086045	Mental concentration	C0687133	Drug Interactions	C1514241	Positive Finding																																																																
1018	871570	C1273517	Used by	C1510472	Drug Dependence	C4086928	Use Heroin	C0730261	Attending clinic	C2584946	Alive (finding)	C0595998	Household composition	C0730261	Attending clinic																																																										
1019	871455	C0033213	Problem	C0085281	Addictive Behavior	C1510411	metaplastic cell transformation																																																																		
1020	871349	C0475746	Light anesthesia	C0428886	Mean blood pressure	C1514241	Positive Finding	C0518609	consideration	C2825142	Experimental Result	C0683278	Mental Suffering	C0542052	coronary artery insufficiency	C0235063	Respiratory Depression																																																								
1021	870660	C0235063	Respiratory Depression	C2825142	Experimental Result	C1301655	Minute ventilation	C3533236	Mean score	C0235063	Respiratory Depression	C3899250	Exceptional Response	C0011570	Mental Depression	C0235063	Respiratory Depression																																																								
1022	869353	C0086045	Mental concentration	C0028961	Oliguria	C0035078	Kidney Failure	C0035078	Kidney Failure	C4321237	High Level	C0442804	Very high	C3670651	Central nervous system sign	C0035078	Kidney Failure	C0033213	Problem																																																						
1023	864606	C1268766	Blood pressure alteration (finding)	C0595862	Vasodilation disorder	C3844638	Either	C3840786	Greatly	C0595862	Vasodilation disorder	C0595862	Vasodilation disorder	C2825142	Experimental Result																																																										
1024	864597	C0728710	Pupil constriction observed	C0026205	Miosis disorder	C4281574	Much	C0231239	Fluctuation	C0728710	Pupil constriction observed	C0728710	Pupil constriction observed																																																												
1025	859019	C2825142	Experimental Result																																																																						
1026	610054	C3838679	4+ Answer to question	C0683954	research results	C0150312	Present	C0750484	Confirmation																																																																
1027	416669	C3826452	Diarrhea in children	C0150312	Present	C1963091	Diarrhea Adverse Event	C0015663	Fasting	C1963091	Diarrhea Adverse Event	C3472700	Moderate dehydration	C3472705	Mild dehydration	C3472181	Severe dehydration	C0425946	Short menstrual periods	C3843661	Too little	C0559546	Adverse reactions	C1273517	Used by																																																
1028	407033	C0086045	Mental concentration	C2825142	Experimental Result																																																																				
1029	334521	C3843766	<50	C3840892	Day 4	C0423896	Feeling content	C2825142	Experimental Result	C0429470	Ovulatory																																																														
1030	326281	C0026751	Multiparity	C1148406	Pain quality	C0564405	Feeling relief	C0879626	Adverse effects																																																																
1031	323443	C0235064	Neonatal respiratory depression	C1301655	Minute ventilation	C1301655	Minute ventilation	C0235063	Respiratory Depression	C0235063	Respiratory Depression	C0011570	Mental Depression																																																												
1032	263668	C0815105	conditioned taste aversion	C0233496	Aversion (finding)	C2825142	Experimental Result	C0007370	Catalepsy	C0011581	Depressive disorder	C0036602	Self Stimulation	C0036602	Self Stimulation	C1273517	Used by	C0026605	Motivation																																																						
1033	263667	C2911692	Response (communication)	C0162703	Pain Threshold	C0871269	Rhythm	C0150312	Present	C0150312	Present	C0014518	Toxic Epidermal Necrolysis																																																												
1034	263550	C0442811	Very low	C2984079	Somewhat																																																																				
1035	195690	C0235169	Excitability	C0086045	Mental concentration	C0235169	Excitability	C0344315	Depressed mood	C0150312	Present	C0086045	Mental concentration																																																												
1036	195688	C0150312	Present	C0086045	Mental concentration																																																																				
1037	194781	C3838679	4+ Answer to question	C1290905	Discrepancy																																																																				
1038	69027	C0442749	6/5	C3840775	Anticipated																																																																				
1039	21203	C1273517	Used by	C0567085	Pain of uterus	C1140999	Contraction (finding)	C0679009	consciousness states	C0449381	Observation parameter	C0429487	Uterine pressure	C0018811	Heart Rate, Fetal	C0344315	Depressed mood	C1273517	Used by																																																						
1040	16512	C0000925	Incised wound																																																																						
1041	863374																																																																								
1042	872873	C0001721	Affect (mental function)																																																																						
1043	872871	C1140999	Contraction (finding)	C0220929	Mental tolerance	C0234235	Tissue sensitivity	C0220929	Mental tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance																																																												
1044	17538	C0344315	Depressed mood	C1140999	Contraction (finding)	C0014518	Toxic Epidermal Necrolysis																																																																		
1045	861730	C1545981	Wound edge	C0332448	Infiltration	C3843766	<50	C2825142	Experimental Result	C0600138	Does play																																																														
1046	863362	C0474703	Anesthetic finding	C0150312	Present	C0475746	Light anesthesia	C1273517	Used by	C1273517	Used by	C1962976	Ventricular Fibrillation Adverse Event	C1306577	Death (finding)	C0039231	Tachycardia	C0020649	Hypotension	C0011570	Mental Depression	C0009566	Complication	C0018790	Cardiac Arrest	C0442751	Distance vision 6/9	C0442749	6/5	C0020649	Hypotension	C0596545	Experience	C0332167	High risk of																																						
1047	406634	C0043012	Wakefulness	C0589102	Visual attention	C0043012	Wakefulness	C0004268	Attention	C0004268	Attention	C1444648	Offered	C0001721	Affect (mental function)	C0004268	Attention	C0750280	Visual changes	C0026605	Motivation	C0004268	Attention	C0020517	Hypersensitivity	C0020517	Hypersensitivity																																														
1048	67799	C0002965	Angina, Unstable	C0429103	T wave feature	C0150312	Present	C0008031	Chest Pain	C0333548	Acute infarct	C0013798	Electrocardiogram	C0589120	Follow-up status	C0002965	Angina, Unstable	C0021308	Infarction	C3838679	4+ Answer to question	C0021308	Infarction	C1306577	Death (finding)	C0002962	Angina Pectoris	C0002962	Angina Pectoris																																												
1049	870028	C0021467	Psychological inhibition	C1140999	Contraction (finding)	C3838679	4+ Answer to question	C0850310	Possessed	C3838679	4+ Answer to question	C0011119	Decompression Sickness	C3838679	4+ Answer to question																																																										
1050	902723	C2825142	Experimental Result	C0596002	Observation of reflex	C1720436	Under anesthesia	C0596002	Observation of reflex	C0728867	Drug effect disorder	C0596002	Observation of reflex	C0425382	Personal status - Adopted	C0596002	Observation of reflex	C0596002	Observation of reflex	C0596002	Observation of reflex	C0596002	Observation of reflex																																																		
1051	896894	C0220929	Mental tolerance	C0220929	Mental tolerance	C0274281	Injury due to exposure to external cause	C0220929	Mental tolerance																																																																
1052	891483	C3843766	<50	C0231218	Malaise	C0042963	Vomiting	C0150312	Present	C0003467	Anxiety																																																														
1053	891040	C3838679	4+ Answer to question	C0344307	Absence of pain sensation	C2825142	Experimental Result	C0344307	Absence of pain sensation																																																																
1054	879493	C0428776	Cardiac index	C0428886	Mean blood pressure	C0853061	Augmented systemic vascular resistance	C0001721	Affect (mental function)	C0449381	Observation parameter	C1444656	Indicated	C0205160	Negative	C0086045	Mental concentration	C0424099	Reduced concentration	C0428977	Bradycardia	C0020649	Hypotension	C0516979	energy level	C0233494	Tension	C0456190	Left ventricular end-diastolic pressure level	C2825142	Experimental Result																																										
1055	879492	C1273517	Used by	C0475746	Light anesthesia	C0085639	Falls	C0205160	Negative	C0150312	Present	C2678378	Hypotension, severe	C2825142	Experimental Result	C0340515	Myocardial dysfunction	C1444656	Indicated	C1444775	Sharp sensation quality	C0085639	Falls	C0595862	Vasodilation disorder	C0683954	research results	C0340515	Myocardial dysfunction	C2825142	Experimental Result																																										
1056	879491	C0277564	Acquired disease	C0018799	Heart Diseases	C0428776	Cardiac index	C0012634	Disease	C0018799	Heart Diseases																																																														
1057	877400	C0220929	Mental tolerance	C0150312	Present	C0220929	Mental tolerance	C0150312	Present																																																																
1058	877397	C0012632	Discrimination (process of differentiation)	C0023185	Learning	C0017326	Generalization, Stimulus																																																																		
1059	871940	C0428886	Mean blood pressure	C0429783	Urinary flow rate	C1271104	Blood pressure finding	C0429783	Urinary flow rate	C1271104	Blood pressure finding	C1271104	Blood pressure finding	C0311428	Increased excretory function	C0311428	Increased excretory function	C1320408	Urinary elimination status																																																						
1060	871934	C0857121	Hypertensive (finding)	C0857121	Hypertensive (finding)	C0857121	Hypertensive (finding)	C1321013	Hydration status	C0020649	Hypotension																																																														
1061	869156	C0235063	Respiratory Depression	C1704632	Disease Response																																																																				
1062	864449	C0858353	addicted to heroin	C0580276	Informal patient	C0332119	Past history of	C0240602	opioid use	C0858353	addicted to heroin	C0558058	Reflecting	C0858353	addicted to heroin	C0240919	Rural	C0085281	Addictive Behavior	C0858353	addicted to heroin	C0858353	addicted to heroin	C0728899	Intoxication	C2825032	Withdrawal (dysfunction)	C0338777	Opium Dependence	C0085281	Addictive Behavior	C0600688	Toxic effect	C2825032	Withdrawal (dysfunction)	C0438400	Life crisis																																				
1063	864448	C1527402	Narcotic Dependence	C0019337	Heroin Dependence	C0338777	Opium Dependence	C0858353	addicted to heroin	C0858353	addicted to heroin	C0558058	Reflecting	C0858353	addicted to heroin	C0240919	Rural	C0858353	addicted to heroin	C0858353	addicted to heroin	C1457868	Worse	C0015663	Fasting	C0332218	Difficult (qualifier value)																																														
1064	859124	C2825142	Experimental Result	C2984079	Somewhat																																																																				
1065	859106	C4297007	Decrease dose	C0442797	Decreasing	C3844638	Either	C0442797	Decreasing																																																																
1066	851241	C3844638	Either	C0011570	Mental Depression	C0344315	Depressed mood																																																																		
1067	561410	C0332128	Examined																																																																						
