	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36	CUI37	PTerm37	CUI38	PTerm38	CUI39	PTerm39	CUI40	PTerm40	CUI41	PTerm41	CUI42	PTerm42	CUI43	PTerm43	CUI44	PTerm44	CUI45	PTerm45	CUI46	PTerm46
2038	6496017	C1720436	Under anesthesia	C0474710	Depth of anesthesia	C0023806	Lipomucopolysaccharidosis	C0234422	Awake	C0161816	Cardiac complication																																																																																		
2039	6496014	C0153567	Uterine Cancer	C1273517	Used by	C0150312	Present																																																																																						
2040	6496013	C0150312	Present	C0086045	Mental concentration	C0150312	Present	C0086045	Mental concentration	C0086045	Mental concentration	C0086045	Mental concentration	C0086045	Mental concentration	C0086045	Mental concentration	C0086045	Mental concentration	C0086045	Mental concentration																																																																								
2041	6495993	C0031511	Pheochromocytoma	C0332128	Examined	C0031511	Pheochromocytoma	C0031511	Pheochromocytoma	C1514241	Positive Finding	C0031511	Pheochromocytoma	C0150312	Present	C2825142	Experimental Result	C0031511	Pheochromocytoma																																																																										
2042	6489737	C0087136	Unmarried	C3842675	Day 3	C1268652	Increase in size since previous mammogram	C0029053	Decreased translucency																																																																																				
2043	6489710	C0009566	Complication	C0700292	Hypoxemia	C0337664	Smoker	C0337672	Non-smoker	C0235195	Sedated state	C0337664	Smoker	C0337672	Non-smoker	C0235195	Sedated state	C0235195	Sedated state	C0001721	Affect (mental function)	C0006266	Bronchial Spasm	C0700292	Hypoxemia																																																																				
2044	6489446	C0520967	Convulsion threshold	C0036572	Seizures	C0036572	Seizures	C2825142	Experimental Result	C0036572	Seizures																																																																																		
2045	6486271	C0029104	Opioid withdrawal	C1457887	Symptoms	C0087169	Withdrawal Symptoms	C2825141	Experimental Finding	C1273517	Used by																																																																																		
2046	6486249	C0014518	Toxic Epidermal Necrolysis	C0740209	Encounter due to counseling	C0740209	Encounter due to counseling	C1319166	Symptom severity level	C0740209	Encounter due to counseling	C0740209	Encounter due to counseling	C0740209	Encounter due to counseling	C0740209	Encounter due to counseling	C0740209	Encounter due to counseling	C1273517	Used by																																																																								
2047	6481762	C0850310	Possessed																																																																																										
2048	6481543	C1443027	Opiate poisoning	C1443027	Opiate poisoning																																																																																								
2049	6478912	C0032326	Pneumothorax	C0700285	Drug addict	C0149781	Spontaneous pneumothorax	C0262512	History of present illness	C0149781	Spontaneous pneumothorax	C0149781	Spontaneous pneumothorax	C0149781	Spontaneous pneumothorax																																																																														
2050	6478738	C0013146	Drug abuse	C0730553	History of abuse	C3843766	<50	C0489618	pupil diameter	C0728710	Pupil constriction observed	C0013146	Drug abuse																																																																																
2051	6477793	C0233820	Insight																																																																																										
2052	6475855	C0151559	Central nervous system depression (disorder)	C0600688	Toxic effect	C0344155	Narcotic poisoning	C0579142	Overdose of opiate																																																																																				
2053	6473349	C1518681	Outcome of Therapy	C2825032	Withdrawal (dysfunction)	C0038441	Stress Disorders, Traumatic	C2825142	Experimental Result	C2825142	Experimental Result	C0150312	Present																																																																																
2054	6443137	C0429673	Respiratory measure	C0234421	Conscious	C0020517	Hypersensitivity	C0460139	Pressure (finding)	C0020517	Hypersensitivity	C0344315	Depressed mood																																																																																
2055	6438742	C0010957	Tissue damage	C0150312	Present	C0423896	Feeling content	C1299581	Able (finding)	C0010957	Tissue damage																																																																																		
2056	6437123	C0428776	Cardiac index	C3854605	Mean Pulmonary Arterial Pressure	C0428886	Mean blood pressure	C1319226	Level of depression	C1273517	Used by																																																																																		
2057	6437104	C0014130	Endocrine System Diseases	C0027651	Neoplasms	C0221198	Lesion	C3838679	4+ Answer to question	C0241311	post operative (finding)																																																																																		
2058	6436316	C0700285	Drug addict	C0243026	Sepsis	C1318973	Staphylococcus aureus infection	C0009450	Communicable Diseases	C0013146	Drug abuse	C0439663	Infected	C0009450	Communicable Diseases	C0558058	Reflecting	C0449416	Source																																																																										
2059	6435955	C0043084	Weaning	C0412771	Spontaneous respiration	C0043084	Weaning	C0412771	Spontaneous respiration	C0412771	Spontaneous respiration	C0582148	Pain score	C1962977	Pain NOS Adverse Event																																																																														
2060	6435481	C0474715	ECG myocardial ischemia	C0855329	Electrocardiographic changes	C3843766	<50	C0474715	ECG myocardial ischemia	C0855329	Electrocardiographic changes	C3840622	5 - 9	C0855329	Electrocardiographic changes	C0428886	Mean blood pressure	C0151744	Myocardial Ischemia	C0151744	Myocardial Ischemia																																																																								
2061	6397106	C3843766	<50	C0011991	Diarrhea	C1140999	Contraction (finding)	C1963091	Diarrhea Adverse Event	C0699809	Does carry	C1963091	Diarrhea Adverse Event	C0013369	Dysentery	C0020903	Illusions																																																																												
2062	6396447	C1720436	Under anesthesia	C2825142	Experimental Result	C0857353	Hypotensive																																																																																						
2063	6391270	C1306597	Psychiatric problem	C1272641	Systemic arterial pressure	C0038435	Stress	C0449381	Observation parameter	C0003467	Anxiety	C3714552	Weakness	C0030318	Panic	C0749192	Refused Surgery	C0449430	Physiological Stress	C0242428	Satisfaction	C2825142	Experimental Result																																																																						
2064	6388421	C0009450	Communicable Diseases	C0449416	Source	C0449416	Source	C0449416	Source																																																																																				
2065	6387084	C1720436	Under anesthesia	C3843645	1-10	C0428886	Mean blood pressure	C2825142	Experimental Result	C0474395	Behavior showing increased motor activity																																																																																		
2066	6386494	C0427514	Right shifted white blood cells	C0012632	Discrimination (process of differentiation)	C0442797	Decreasing	C0012632	Discrimination (process of differentiation)	C0012632	Discrimination (process of differentiation)	C0442797	Decreasing																																																																																
2067	6384044	C1273517	Used by	C1524029	Mouse MIN NOS	C0596402	cytotoxicity	C0009450	Communicable Diseases	C0596402	cytotoxicity	C0015663	Fasting	C3840892	Day 4	C0596402	cytotoxicity	C0596402	cytotoxicity	C1269831	Infection due to resistant organism	C0015663	Fasting	C3840892	Day 4	C0596402	cytotoxicity	C0009450	Communicable Diseases	C0038187	Starvation	C0239998	Recurrent infections																																																												
2068	6383447	C0235195	Sedated state	C0235195	Sedated state																																																																																								
2069	6208826	C0596002	Observation of reflex	C3843787	10 - 12	C0460139	Pressure (finding)																																																																																						
2070	6208804	C0018790	Cardiac Arrest	C0221232	Welts	C3841798	Not well	C0162340	Comprehension	C0221232	Welts	C0037088	Signs and Symptoms	C0001721	Affect (mental function)																																																																														
2071	6207298	C3838679	4+ Answer to question																																																																																										
2072	6151917	C1384674	Cesarean section (finding)	C0011570	Mental Depression	C3840892	Day 4	C2825142	Experimental Result	C0600688	Toxic effect																																																																																		
2073	6151146	C0678356	alcohol effect	C0015663	Fasting	C0580846	Does pull	C3844638	Either	C0580846	Does pull	C0850310	Possessed																																																																																
2074	6150888	C0013220	Drug Tolerance	C4288557	One Activity Hour																																																																																								
2075	6150495	C0445223	Related personal status	C1273517	Used by	C0445223	Related personal status																																																																																						
2076	6150093	C0242656	Disease Progression	C3843766	<50																																																																																								
2077	6150086	C0596130	attribution	C2825142	Experimental Result																																																																																								
2078	6149170	C1962977	Pain NOS Adverse Event	C0237677	insensitivity	C0459920	Abstract thinking ability	C0015726	Fear (Mental Process)	C0085281	Addictive Behavior	C1962977	Pain NOS Adverse Event	C0041657	Unconscious State	C1962977	Pain NOS Adverse Event																																																																												
2079	6149142	C0012632	Discrimination (process of differentiation)	C0086045	Mental concentration	C0017324	Generalization (Psychology)	C0012632	Discrimination (process of differentiation)	C0017324	Generalization (Psychology)																																																																																		
2080	6148895	C0014518	Toxic Epidermal Necrolysis	C0596545	Experience	C3840892	Day 4	C2674101	Autonomic symptoms	C0013220	Drug Tolerance																																																																																		
2081	6148730	C0150055	Chronic pain																																																																																										
2082	6148357	C0234421	Conscious	C0015663	Fasting	C0020456	Hyperglycemia	C0332128	Examined	C2825142	Experimental Result	C0020456	Hyperglycemia	C2825142	Experimental Result	C0021467	Psychological inhibition	C0085639	Falls	C0021467	Psychological inhibition	C0020615	Hypoglycemia	C2825142	Experimental Result																																																																				
2083	6148094	C3838679	4+ Answer to question	C3838679	4+ Answer to question	C0235063	Respiratory Depression	C0311392	Physical findings	C0600688	Toxic effect																																																																																		
2084	6147422	C0030201	Pain, Postoperative	C1273517	Used by	C0032787	Postoperative Complications	C0694536	Drug seeking behavior	C3844638	Either	C0235195	Sedated state	C0235195	Sedated state	C1704726	Confidence																																																																												
2085	6147391	C0233660	Mental blocking																																																																																										
2086	6097833	C4284144	Zero Activity Time																																																																																										
2087	6097525	C1273517	Used by	C0150312	Present	C0518609	consideration	C0679006	Decision																																																																																				
2088	6096681																																																																																												
2089	6096651	C0442804	Very high																																																																																										
2090	6096283	C1545588	Protection	C0948482	analgesic effect	C0332128	Examined	C3844638	Either	C0524637	Recognition (Psychology)	C0524637	Recognition (Psychology)																																																																																
2091	6096107	C0524662	Opiate Addiction	C0600138	Does play	C0700285	Drug addict																																																																																						
2092	6095979	C0040028	Thrombocythemia, Essential	C3840786	Greatly	C0040028	Thrombocythemia, Essential	C0014493	Epidemic keratoconjunctivitis	C0040028	Thrombocythemia, Essential	C3843708	29+	C0014493	Epidemic keratoconjunctivitis	C3838679	4+ Answer to question	C3838679	4+ Answer to question	C3838679	4+ Answer to question																																																																								
2093	6095780	C0857121	Hypertensive (finding)	C1720436	Under anesthesia	C0497247	Increase in blood pressure	C1271104	Blood pressure finding	C0857121	Hypertensive (finding)	C3844638	Either	C0857121	Hypertensive (finding)	C2825142	Experimental Result	C1272641	Systemic arterial pressure																																																																										
2094	6095326	C0020505	Hyperphagia	C3838679	4+ Answer to question	C0001721	Affect (mental function)	C1384607	Food deprivation	C1299583	Independently able	C0020505	Hyperphagia	C0018790	Cardiac Arrest	C1384607	Food deprivation	C0020505	Hyperphagia																																																																										
2095	6095324	C1273517	Used by	C1518681	Outcome of Therapy	C0815105	conditioned taste aversion	C0815105	conditioned taste aversion	C0815105	conditioned taste aversion																																																																																		
2096	6094376	C0162703	Pain Threshold	C0155685	Acute bacterial endocarditis	C3887949	Apparent mineralocorticoid excess	C0560453	Does jump	C0456240	Core body temperature	C0155685	Acute bacterial endocarditis	C0020429	Hyperalgesia	C0948482	analgesic effect	C4321237	High Level	C3887949	Apparent mineralocorticoid excess	C0751214	Hyperalgesia, Thermal	C4321237	High Level	C0442797	Decreasing	C0948482	analgesic effect	C1295616	Increased oxytocin level	C4321335	Moderate Level	C0560453	Does jump	C0456240	Core body temperature	C0683317	activity level	C0155685	Acute bacterial endocarditis	C3887949	Apparent mineralocorticoid excess	C0424295	Hyperactive behavior	C0036572	Seizures																																														
2097	6093552	C0150312	Present	C0150312	Present	C3844638	Either	C0150312	Present																																																																																				
2098	6092986	C0020514	Hyperprolactinemia	C0027651	Neoplasms	C0020514	Hyperprolactinemia	C0239574	Low grade fever	C0489749	Rectal temperature	C2825032	Withdrawal (dysfunction)	C3838679	4+ Answer to question	C0020514	Hyperprolactinemia	C0020514	Hyperprolactinemia	C0598934	tumor growth	C0020514	Hyperprolactinemia	C1524029	Mouse MIN NOS	C0020514	Hyperprolactinemia	C1444783	Instability	C0020514	Hyperprolactinemia	C0598934	tumor growth	C0086045	Mental concentration	C0442797	Decreasing																																																								
2099	6092607	C0220929	Mental tolerance	C0439857	Dependence	C0220929	Mental tolerance	C0439857	Dependence	C0220929	Mental tolerance	C0026552	Morphine Dependence	C0220929	Mental tolerance	C4304523	Withdrawal sign	C1262477	Weight decreased	C2911645	Weight Loss Adverse Event	C0220929	Mental tolerance	C0439857	Dependence	C2825142	Experimental Result	C0600138	Does play	C0220929	Mental tolerance	C0439857	Dependence																																																												
2100	6092604	C1444656	Indicated	C0150312	Present	C0007370	Catalepsy																																																																																						
2101	6092603	C0086045	Mental concentration	C0442811	Very low	C2825142	Experimental Result	C0750484	Confirmation																																																																																				
2102	6092111	C3843766	<50	C0086045	Mental concentration	C2825142	Experimental Result	C2699153	Cell Invasion																																																																																				
2103	6091503	C0687133	Drug Interactions	C1273517	Used by	C0012979	Dog Diseases	C0234422	Awake	C0424543	Response to pain finding	C1268766	Blood pressure alteration (finding)	C0233494	Tension	C1271104	Blood pressure finding	C0234422	Awake																																																																										
2104	6090664	C0150312	Present	C0449416	Source																																																																																								
2105	6090663	C0750484	Confirmation	C0429964	Dependent for dressing	C0524637	Recognition (Psychology)	C1706968	Blockage (obstruction - finding)	C3845970	Nonreactive																																																																																		
2106	6088699	C0150312	Present	C0442759	3/6																																																																																								
2107	6088697	C0001721	Affect (mental function)																																																																																										
2108	6088695	C0450407	ph+	C0595879	sodium high	C2825142	Experimental Result	C0450407	ph+	C0728725	Low pH	C0333172	Membranous obstruction	C0442811	Very low	C0086045	Mental concentration																																																																												
2109	6088688	C0678356	alcohol effect	C2825142	Experimental Result	C0005904	Body Temperature Changes	C0086045	Mental concentration	C0442797	Decreasing	C0150312	Present	C0150312	Present	C0004268	Attention	C2825142	Experimental Result																																																																										
2110	6084486	C0221470	Aphagia	C0522082	Normal glucose level																																																																																								
2111	6084409	C1720436	Under anesthesia	C0086045	Mental concentration	C3843493	Medication 3	C0239193	DOG EXPOSURE	C2825142	Experimental Result	C2825142	Experimental Result	C0449416	Source																																																																														
2112	6084200																																																																																												
2113	6083968	C0268059	Neonatal hemochromatosis	C0268059	Neonatal hemochromatosis	C3838679	4+ Answer to question																																																																																						
2114	6091647	C4055506	Accumulation	C0150312	Present	C0150312	Present	C0150312	Present																																																																																				
2115	6548400	C0149775	Fit frequency	C0027066	Myoclonus	C0847483	nerve lesion	C0221198	Lesion	C1148454	seizure activity	C0221198	Lesion	C0027066	Myoclonus	C1148454	seizure activity	C0162340	Comprehension																																																																										
2116	6488016	C0014544	Epilepsy	C0038454	Cerebrovascular accident	C1334804	Motor Manifestations	C0001721	Affect (mental function)	C0014544	Epilepsy	C0442804	Very high	C0150312	Present	C0237677	insensitivity																																																																												
2117	6482662	C0036974	Shock	C0036974	Shock	C0036974	Shock	C0036974	Shock	C0036974	Shock	C0026826	Muscle Hypertonia	C0036974	Shock	C0036974	Shock	C0036974	Shock	C2825142	Experimental Result																																																																								
2118	6090835	C0332149	Possible																																																																																										
2119	6484774	C0009421	Comatose	C0234533	Generalized seizures	C0150312	Present	C0332149	Possible																																																																																				
2120	6479040	C0016658	Fracture	C1579887	Car accident	C2080700	severe Breathlessness	C1962977	Pain NOS Adverse Event	C0445223	Related personal status	C0278140	Severe pain	C0445223	Related personal status	C0013404	Dyspnea	C1962977	Pain NOS Adverse Event	C0033898	Psychological Factors																																																																								
2121	6499926	C0497247	Increase in blood pressure	C3838679	4+ Answer to question	C1720436	Under anesthesia	C2825142	Experimental Result	C0497247	Increase in blood pressure	C0442748	6/4	C0232189	Alteration in heart rate (finding)	C3843504	1 - 3	C0265101	Carotid artery occlusion	C2825142	Experimental Result																																																																								
2122	6499921	C1535939	Pneumocystis jiroveci pneumonia	C4012581	Motor incoordination	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C4012581	Motor incoordination	C1535939	Pneumocystis jiroveci pneumonia	C0596130	attribution	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C2825142	Experimental Result	C1535939	Pneumocystis jiroveci pneumonia																																																																				
2123	6482651	C0424295	Hyperactive behavior	C0311392	Physical findings	C0549263	opiate withdrawal symptoms	C0039082	Syndrome	C1457887	Symptoms	C3274502	Opiate Withdrawal Syndrome	C0086189	Drug Withdrawal Symptoms	C0311392	Physical findings	C1457887	Symptoms	C1332133	Abstinence Syndrome	C4304523	Withdrawal sign	C1457887	Symptoms	C0038587	Substance Withdrawal Syndrome	C0424295	Hyperactive behavior	C0150312	Present	C3274502	Opiate Withdrawal Syndrome																																																												
2124	6332965	C0332128	Examined	C2825142	Experimental Result																																																																																								
2125	6148127	C3843766	<50	C0150312	Present																																																																																								
2126	6094217	C1273517	Used by	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C0019360	Herpes zoster disease	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C2825142	Experimental Result																																																																														
2127	6094216	C0150312	Present	C0231530	Muscle twitch	C0026552	Morphine Dependence	C0231530	Muscle twitch	C0231530	Muscle twitch	C0442726	Detected (finding)	C0004268	Attention	C0001721	Affect (mental function)	C0231530	Muscle twitch	C0086045	Mental concentration	C0231530	Muscle twitch	C0857405	withdrawal reaction																																																																				
2128	6094214	C0240066	Iron deficiency	C0150312	Present	C0240066	Iron deficiency	C0162703	Pain Threshold	C0162703	Pain Threshold	C0240066	Iron deficiency	C0162703	Pain Threshold	C0150312	Present	C0162703	Pain Threshold	C0332149	Possible	C0600138	Does play	C0162703	Pain Threshold																																																																				
2129	6094212	C1720436	Under anesthesia	C0344315	Depressed mood	C0344315	Depressed mood	C0344307	Absence of pain sensation	C2825142	Experimental Result																																																																																		
2130	6090834	C0011570	Mental Depression	C0332128	Examined	C2825142	Experimental Result	C4281574	Much	C0011570	Mental Depression	C0150312	Present	C2825142	Experimental Result																																																																														
2131	6089968	C0332128	Examined	C0086045	Mental concentration	C1295693	Increased serotonin level	C1295694	Decreased serotonin level																																																																																				
2132	6541075	C0020903	Illusions	C0150312	Present	C0011175	Dehydration	C0019080	Hemorrhage	C0234421	Conscious	C0011175	Dehydration	C0019080	Hemorrhage																																																																														
2133	6486130	C0229992	Psyche structure	C0948482	analgesic effect																																																																																								
2134	6486129	C0879626	Adverse effects	C0278079	Psychological addiction	C0278080	Physical addiction	C0013220	Drug Tolerance	C1306459	Primary malignant neoplasm																																																																																		
2135	6486128	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C0016658	Fracture	C0030201	Pain, Postoperative	C1962977	Pain NOS Adverse Event	C0033898	Psychological Factors	C0600138	Does play	C0030971	Perception	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C0038435	Stress	C3840786	Greatly	C0162340	Comprehension	C1962977	Pain NOS Adverse Event	C0233820	Insight																																																														
2136	6478231	C0221198	Lesion	C3844638	Either	C0026825	Flaccid Muscle Tone	C4314646	Respiratory disturbances	C0683278	Mental Suffering	C0263680	Chronic arthritis	C0600138	Does play	C1444656	Indicated																																																																												
2137	6484551	C0035410	Rhabdomyolysis	C0241918	HEROIN INTOXICATION	C0745966	Edema of lower leg	C0039082	Syndrome	C0009566	Complication	C1565489	Renal Insufficiency	C0012634	Disease	C0302590	calcium disorders	C0277785	Functional disorder	C0009566	Complication	C0162425	Intention - mental process																																																																						
2138	6493634	C0546816	Persistence	C0231471	Abnormal posture	C0085623	Akinesia	C0085623	Akinesia	C0085623	Akinesia																																																																																		
2139	6149506	C1140999	Contraction (finding)																																																																																										
2140	6093016	C0449878	Mount used	C0449878	Mount used																																																																																								
2141	6093009	C0017638	Glioma	C0150312	Present	C0558058	Reflecting																																																																																						
2142	6499910	C1963167	Memory Impairment Adverse Event	C0700327	Memory observations	C2825142	Experimental Result																																																																																						
2143	6482649	C3843645	1-10	C0442797	Decreasing																																																																																								
2144	6094211	C0268854	Contracted bladder	C1720436	Under anesthesia	C3843766	<50	C1140999	Contraction (finding)																																																																																				
2145	6094203	C4035633	3-5 times	C0558058	Reflecting																																																																																								
2146	24277330	C0036572	Seizures	C0684320	Disease regression	C1273517	Used by																																																																																						
2147	6745188	C0150312	Present	C4035626	3 times	C2825142	Experimental Result	C1295611	Decreased pituitary luteinizing hormone level	C2230138	Pulse slow (finding)	C0037088	Signs and Symptoms	C0150312	Present	C2825142	Experimental Result																																																																												
2148	6594955	C0039231	Tachycardia	C0332128	Examined	C0449381	Observation parameter	C1720436	Under anesthesia	C1720436	Under anesthesia	C1720436	Under anesthesia	C0449381	Observation parameter	C1272641	Systemic arterial pressure	C1272641	Systemic arterial pressure	C0086045	Mental concentration	C1272641	Systemic arterial pressure	C0428642	Pulmonary artery pressure	C1272641	Systemic arterial pressure	C0428642	Pulmonary artery pressure	C0039231	Tachycardia	C0039231	Tachycardia	C0028778	Obstruction																																																										
2149	6593750	C4297007	Decrease dose	C3838679	4+ Answer to question	C0558058	Reflecting	C1397014	Imbalance																																																																																				
2150	6548348	C1457887	Symptoms	C1955473	Others - Allergy																																																																																								
2151	6548003	C1963282	Wolff-Parkinson-White Syndrome Adverse Event	C0549206	Patient currently pregnant	C0003811	Cardiac Arrhythmia	C0020649	Hypotension	C0150312	Present	C1963282	Wolff-Parkinson-White Syndrome Adverse Event																																																																																
2152	6547667	C0086045	Mental concentration	C3843766	<50	C3842675	Day 3	C0150312	Present	C3842675	Day 3	C0558058	Reflecting	C0518609	consideration	C0948922	mole changes	C0086045	Mental concentration	C0086045	Mental concentration	C2239178	Newborn (finding)																																																																						
2153	6547643	C0020792	Identification (Psychology)	C1273518	Responsible to																																																																																								
2154	6545097	C0543419	Sequela of disorder																																																																																										
2155	6545083																																																																																												
2156	6543077	C0278080	Physical addiction	C0026552	Morphine Dependence	C4036060	Drug-food	C0311392	Physical findings	C0600688	Toxic effect	C0007398	Catatonia	C0015300	Exophthalmos	C1631070	6/4.5	C0311392	Physical findings	C4304523	Withdrawal sign	C1262477	Weight decreased	C0040822	Tremor	C0564182	Vocalization (finding)	C0011991	Diarrhea	C0033377	Ptosis	C0232514	Teeth chattering	C0014591	Epistaxis	C0037036	Sialorrhea	C0423153	Lacrimation	C4304523	Withdrawal sign	C3842676	Day 2	C3842675	Day 3	C1262477	Weight decreased	C0011991	Diarrhea	C2825032	Withdrawal (dysfunction)	C2911645	Weight Loss Adverse Event	C2825032	Withdrawal (dysfunction)	C0278080	Physical addiction	C0026552	Morphine Dependence	C0600688	Toxic effect	C1299586	Has difficulty doing (qualifier value)	C0278080	Physical addiction	C0026552	Morphine Dependence																										
2157	6542954	C0038435	Stress	C0684336	Impaired health	C0012634	Disease	C0010957	Tissue damage	C0021308	Infarction	C0012634	Disease																																																																																
2158	6542628	C0038435	Stress	C0001721	Affect (mental function)	C1319127	Level of stress																																																																																						
2159	6541897	C0001721	Affect (mental function)	C0948482	analgesic effect	C0344307	Absence of pain sensation	C2825142	Experimental Result	C0086182	Drug Abuse, Parenteral																																																																																		
2160	6541792	C0220929	Mental tolerance	C0026552	Morphine Dependence	C0001721	Affect (mental function)	C2825142	Experimental Result	C0026552	Morphine Dependence																																																																																		
2161	6541759	C3843766	<50	C0220929	Mental tolerance	C1709157	Negative Surgical Margin	C3840892	Day 4	C0220929	Mental tolerance	C4296962	Normal function	C1444662	Discontinued																																																																														
2162	6541758	C3843766	<50	C0220929	Mental tolerance	C1262477	Weight decreased	C2911645	Weight Loss Adverse Event																																																																																				
2163	6514833	C0009651	Operant Conditioning	C1444656	Indicated	C2825141	Experimental Finding																																																																																						
2164	6511138	C0013146	Drug abuse	C0031208	Personality	C0150312	Present	C3844350	Maybe	C0022423	Judgment																																																																																		
2165	6511136	C0150312	Present	C0003467	Anxiety	C0740858	Substance abuse problem	C0349231	Phobic anxiety disorder	C0040332	Tobacco Dependence	C0028754	Obesity	C0349231	Phobic anxiety disorder																																																																														
2166	6506873	C0442726	Detected (finding)	C3845714	Several days	C0442726	Detected (finding)																																																																																						
2167	6505376	C0086045	Mental concentration	C0086045	Mental concentration	C0600688	Toxic effect																																																																																						
2168	6504720	C0150312	Present	C0150312	Present	C0332149	Possible																																																																																						
2169	6504719	C0332128	Examined	C3838679	4+ Answer to question	C2825142	Experimental Result																																																																																						
2170	6504268	C4297006	Increase dose	C0086045	Mental concentration	C0086045	Mental concentration																																																																																						
2171	6503290	C0700285	Drug addict	C0700285	Drug addict	C3840903	Medication 2	C0012634	Disease	C0242151	violent	C0242151	violent	C0700285	Drug addict	C0596130	attribution	C0589120	Follow-up status	C1546956	Patient Outcome - Died	C1546956	Patient Outcome - Died																																																																						
2172	6503231	C1705232	Death Related to Adverse Event	C0032343	Poisoning	C0086045	Mental concentration	C3844638	Either	C0013146	Drug abuse																																																																																		
2173	6500147	C3843766	<50	C0497247	Increase in blood pressure	C0428886	Mean blood pressure	C0497247	Increase in blood pressure	C2826293	Clinical Significance																																																																																		
2174	6498567	C0871273	role conflicts	C0038435	Stress	C0014518	Toxic Epidermal Necrolysis	C0919727	Intraoperative Awareness	C0004268	Attention	C0086045	Mental concentration																																																																																
2175	6497131	C1852222	Failure of Tooth Eruption, Primary	C0086045	Mental concentration	C1852222	Failure of Tooth Eruption, Primary	C0442797	Decreasing	C0428279	Finding of creatinine level																																																																																		
2176	6496920	C0150055	Chronic pain	C0879626	Adverse effects	C0013220	Drug Tolerance	C1962977	Pain NOS Adverse Event	C0449416	Source	C3830290	Explanted Medical Device	C0449575	Histological finding	C0559546	Adverse reactions	C0879626	Adverse effects	C3242274	new therapy	C1962977	Pain NOS Adverse Event																																																																						
2177	6494213	C2825142	Experimental Result	C0020649	Hypotension	C0428977	Bradycardia	C1720436	Under anesthesia	C0234421	Conscious	C0344307	Absence of pain sensation																																																																																
2178	6494212	C0023185	Learning	C0332128	Examined	C0474416	Disruptive Behavior																																																																																						
2179	6494208	C0683317	activity level	C1332555	Biphasic Pattern	C2825142	Experimental Result	C1444656	Indicated																																																																																				
2180	6493793	C1273517	Used by	C0150312	Present	C1962977	Pain NOS Adverse Event	C0948482	analgesic effect																																																																																				
2181	6493361	C2825142	Experimental Result	C0150312	Present	C0086045	Mental concentration	C0233660	Mental blocking	C2825142	Experimental Result																																																																																		
2182	6493094	C0150055	Chronic pain	C1962977	Pain NOS Adverse Event	C0150055	Chronic pain	C0085281	Addictive Behavior	C0221198	Lesion	C1273518	Responsible to	C1962977	Pain NOS Adverse Event	C0150055	Chronic pain	C2825032	Withdrawal (dysfunction)	C1332133	Abstinence Syndrome																																																																								
2183	6491943																																																																																												
2184	6489156	C0030971	Perception	C0085281	Addictive Behavior																																																																																								
2185	6489151	C0332128	Examined	C0341743	Chronic retention of urine	C3843766	<50	C1514241	Positive Finding	C1514241	Positive Finding	C0240291	mg reduced	C1273937	Not significant	C4297006	Increase dose	C1514241	Positive Finding	C0150312	Present																																																																								
2186	6487476	C1961131	Cough Adverse Event	C0687152	Does cough	C1961131	Cough Adverse Event	C0151574	Decreased coughing																																																																																				
2187	6486675	C1546417	Non-English speaking	C0425946	Short menstrual periods																																																																																								
2188	6486665	C0026896	Myasthenia Gravis	C3843766	<50	C1319226	Level of depression	C0596002	Observation of reflex	C1704632	Disease Response	C2826210	Complete Recovery	C0412771	Spontaneous respiration	C2826210	Complete Recovery																																																																												
2189	6476586	C0581124	Mild asthma	C3843766	<50	C0150312	Present	C1514241	Positive Finding																																																																																				
2190	6476433	C3845500	Scheduled surgical procedure	C3843766	<50																																																																																								
2191	6474320	C0085281	Addictive Behavior	C0596545	Experience	C0030201	Pain, Postoperative	C0564405	Feeling relief	C0235195	Sedated state	C0879626	Adverse effects																																																																																
2192	6471078	C0029266	Mental Orientation	C0150312	Present	C3838679	4+ Answer to question																																																																																						
2193	6470976	C0150312	Present	C4035626	3 times	C0150312	Present	C0150312	Present																																																																																				
